	disrupted2onc
hsa-miR-3166	1
hsa-miR-3171	1
hsa-miR-3173-3p	1
hsa-miR-3175	1
hsa-miR-3176	1
hsa-miR-3182	1
hsa-miR-3184-5p	1
hsa-miR-3187-5p	1
hsa-miR-3193	1
hsa-miR-32-5p	1
hsa-miR-3200-5p	1
hsa-miR-3202	1
hsa-miR-320a	1
hsa-miR-320b	1
hsa-miR-320c	1
hsa-miR-320d	1
hsa-miR-328	1
hsa-miR-3164	1
hsa-miR-3162-3p	1
hsa-miR-3159	1
hsa-miR-3142	1
hsa-miR-3129-5p	1
hsa-miR-3132	1
hsa-miR-3133	1
hsa-miR-3135a	1
hsa-miR-3136-3p	1
hsa-miR-3137	1
hsa-miR-3140-3p	1
hsa-miR-3143	1
hsa-miR-3158-5p	1
hsa-miR-3145-5p	1
hsa-miR-3146	1
hsa-miR-3152-5p	1
hsa-miR-3154	1
hsa-miR-3155a	1
hsa-miR-3155b	1
hsa-miR-3157-3p	1
hsa-miR-199a-3p	1
hsa-miR-197-5p	1
hsa-miR-4668-3p	1
hsa-miR-1233	1
hsa-miR-1237	1
hsa-miR-1243	1
hsa-miR-1245a	1
hsa-miR-1245b-3p	1
hsa-miR-1251	1
hsa-miR-1256	1
hsa-miR-1261	1
hsa-miR-1265	1
hsa-miR-1266	1
hsa-miR-1273e	1
hsa-miR-1276	1
hsa-miR-128	1
hsa-miR-1280	1
hsa-miR-1283	1
hsa-miR-1284	1
hsa-miR-1285-3p	1
hsa-miR-1286	1
hsa-miR-1236	1
hsa-miR-1227	1
hsa-miR-196a-3p	1
hsa-miR-1225-3p	1
hsa-let-7g-3p	1
hsa-let-7i-3p	1
hsa-miR-101-3p	1
hsa-miR-103a-2-5p	1
hsa-miR-103a-3p	1
hsa-miR-105-5p	1
hsa-miR-106a-3p	1
hsa-miR-106b-3p	1
hsa-miR-107	1
hsa-miR-10b-3p	1
hsa-miR-1182	1
hsa-miR-1193	1
hsa-miR-1197	1
hsa-miR-1202	1
hsa-miR-1206	1
hsa-miR-1207-5p	1
hsa-miR-1224-3p	1
hsa-miR-1290	1
hsa-miR-1291	1
hsa-miR-1293	1
hsa-miR-1301	1
hsa-miR-154-3p	1
hsa-miR-154-5p	1
hsa-miR-155-5p	1
hsa-miR-16-2-3p	1
hsa-miR-181b-3p	1
hsa-miR-182-3p	1
hsa-miR-183-5p	1
hsa-miR-185-3p	1
hsa-miR-186-3p	1
hsa-miR-18a-3p	1
hsa-miR-1914-3p	1
hsa-miR-1915-3p	1
hsa-miR-1915-5p	1
hsa-miR-192-3p	1
hsa-miR-193a-5p	1
hsa-miR-193b-5p	1
hsa-miR-195-3p	1
hsa-miR-147a	1
hsa-miR-146b-5p	1
hsa-miR-146b-3p	1
hsa-miR-130b-5p	1
hsa-miR-1302	1
hsa-miR-1305	1
hsa-miR-1306-5p	1
hsa-miR-1307-3p	1
hsa-miR-130a-3p	1
hsa-miR-130a-5p	1
hsa-miR-130b-3p	1
hsa-miR-132-5p	1
hsa-miR-146a-5p	1
hsa-miR-134	1
hsa-miR-135b-3p	1
hsa-miR-141-3p	1
hsa-miR-142-5p	1
hsa-miR-143-3p	1
hsa-miR-143-5p	1
hsa-miR-1469	1
hsa-miR-330-3p	1
hsa-miR-34b-3p	1
hsa-miR-3529-5p	1
hsa-miR-4430	1
hsa-miR-4436a	1
hsa-miR-4437	1
hsa-miR-4438	1
hsa-miR-4444	1
hsa-miR-4445-5p	1
hsa-miR-4446-5p	1
hsa-miR-4462	1
hsa-miR-4469	1
hsa-miR-4470	1
hsa-miR-4474-3p	1
hsa-miR-4476	1
hsa-miR-4478	1
hsa-miR-4479	1
hsa-miR-4481	1
hsa-miR-4483	1
hsa-miR-4487	1
hsa-miR-4492	1
hsa-miR-4433-5p	1
hsa-miR-4429	1
hsa-miR-3607-3p	1
hsa-miR-4421	1
hsa-miR-4288	1
