	miRNA	Genesymbol
4191	hsa-miR-770-5p	FGFR2
4197	hsa-miR-512-5p	ATRX
4199	hsa-miR-4520b-3p	FAS
4200	hsa-miR-519b-3p	ABI1
4212	hsa-miR-552	NRG1
4222	hsa-miR-5681b	GATA3
4224	hsa-miR-3686	SPECC1
4227	hsa-miR-485-3p	FAS
4228	hsa-miR-4328	TAL1
4229	hsa-miR-4761-3p	HMGA1
4235	hsa-miR-887	PIK3R1
4239	hsa-miR-936	KDSR
4240	hsa-miR-4712-5p	PPFIBP1
4249	hsa-miR-3667-3p	TBX3
4253	hsa-miR-379-5p	MDM4
4257	hsa-miR-519a-3p	AFF4
4258	hsa-miR-675-3p	POT1
4260	hsa-miR-3120-3p	WHSC1
4261	hsa-miR-4647	RSPO2
4262	hsa-miR-885-3p	GNAS
4263	hsa-miR-4664-5p	ERCC4
4264	hsa-miR-4668-3p	BCL11A
4265	hsa-miR-429	IRF4
4267	hsa-miR-4691-3p	WHSC1
4271	hsa-miR-106a-5p	ABI1
4272	hsa-miR-17-5p	ABI1
4295	hsa-miR-143-3p	ERBB3
4296	hsa-miR-3680-5p	HEY1
4298	hsa-miR-1306-5p	HRAS
4300	hsa-miR-3142	ERG
4306	hsa-miR-1915-5p	KLK2
4309	hsa-miR-625-5p	MYOD1
4310	hsa-miR-675-5p	PTPRB
4314	hsa-miR-885-3p	GNAS
4315	hsa-miR-622	FANCF
4316	hsa-miR-27b-3p	BTG1
4317	hsa-miR-4435	PTPRB
4321	hsa-miR-596	CRTC3
4323	hsa-miR-4665-5p	MYOD1
4324	hsa-miR-610	TPM3
4325	hsa-miR-661	BRD4
4326	hsa-miR-526b-3p	ABI1
4338	hsa-miR-452-5p	DEK
4340	hsa-miR-3942-3p	ELK4
4341	hsa-miR-4466	PTPRB
4345	hsa-miR-106b-3p	CANT1
4348	hsa-miR-3152-5p	RABEP1
4350	hsa-miR-5197-5p	PLAG1
4353	hsa-miR-3686	PBX1
4366	hsa-miR-487a	BTG1
4367	hsa-miR-106b-5p	AFF4
4369	hsa-miR-519d	AFF4
4371	hsa-miR-4470	RUNX1T1
4386	hsa-miR-105-5p	GAS7
4390	hsa-miR-4763-3p	ERCC4
4391	hsa-miR-3921	ELK4
4392	hsa-miR-769-3p	FANCC
4394	hsa-miR-5585-3p	IKBKB
4397	hsa-miR-519a-3p	ABI1
4409	hsa-miR-154-5p	PPFIBP1
4414	hsa-miR-5096	BTG1
4415	hsa-miR-520g	AFF4
4416	hsa-miR-199a-5p	IKBKB
4420	hsa-miR-1182	TPM3
4422	hsa-miR-4302	IKBKB
4426	hsa-miR-3909	FAM46C
4427	hsa-miR-4426	SLC34A2
4430	hsa-miR-5585-5p	GNAS
4432	hsa-miR-5682	CBL
4434	hsa-miR-4647	XPA
4435	hsa-miR-4662a-3p	CDK6
4437	hsa-miR-567	MYO5A
4439	hsa-miR-4292	JAK3
4440	hsa-miR-4733-3p	MYO5A
4443	hsa-miR-4525	MYOD1
4444	hsa-miR-4444	PAX7
4445	hsa-miR-5010-5p	MYOD1
4446	hsa-miR-4770	ERBB3
4447	hsa-miR-3136-3p	ELL
4448	hsa-miR-590-3p	KTN1
4451	hsa-miR-1295b-3p	ERG
4457	hsa-miR-2113	NBN
4458	hsa-miR-770-5p	PPFIBP1
4462	hsa-miR-675-5p	HMGA1
4468	hsa-miR-519c-3p	ABI1
4480	hsa-miR-3147	MYD88
4491	hsa-miR-125a-3p	NRG1
4497	hsa-miR-548aw	TOP1
4498	hsa-miR-3973	AFF4
4499	hsa-miR-638	FANCC
4501	hsa-miR-510	HIP1
4503	hsa-miR-5692a	ACVR1
4504	hsa-miR-324-3p	BTG1
4516	hsa-miR-764	TERT
4521	hsa-miR-199b-5p	IKBKB
4526	hsa-miR-1280	FGFR1
4535	hsa-miR-4756-5p	ACSL6
4541	hsa-miR-520h	ABI1
4553	hsa-miR-425-3p	FOXL2
4554	hsa-miR-4735-3p	PCM1
4555	hsa-miR-632	BCL2
4556	hsa-miR-297	POT1
4558	hsa-miR-4510	MYO5A
4560	hsa-miR-611	PAX3
4561	hsa-miR-3144-3p	PPFIBP1
4565	hsa-miR-328	CRTC1
4566	hsa-miR-659-3p	NRG1
4569	hsa-miR-367-3p	TOP1
4570	hsa-miR-3653	KAT6B
4573	hsa-miR-4804-5p	ABL2
4580	hsa-miR-520h	AFF4
4584	hsa-miR-485-5p	MAX
4585	hsa-miR-1178	PBX1
4588	hsa-miR-5581-5p	SDC4
4589	hsa-miR-764	PTPRB
4593	hsa-miR-548ax	GNAS
4595	hsa-miR-4731-3p	FGFR1
4604	hsa-miR-1253	HOXD11
4610	hsa-miR-450b-3p	FANCC
4613	hsa-miR-5572	MLF1
4619	hsa-miR-4260	MLF1
4625	hsa-miR-4699-5p	XPA
4626	hsa-miR-544a	TFRC
4628	hsa-miR-182-3p	NRG1
4631	hsa-miR-30d-3p	ACSL6
4637	hsa-miR-3692-3p	HOXD11
4638	hsa-miR-876-3p	NRG1
4641	hsa-miR-4266	STIL
4643	hsa-miR-940	SLC45A3
4644	hsa-miR-297	MYO5A
4646	hsa-miR-5684	SPECC1
4649	hsa-miR-5583-3p	LCP1
4650	hsa-miR-155-3p	BCL11A
4651	hsa-miR-2115-5p	LHFP
4652	hsa-miR-335-3p	IL6ST
4653	hsa-miR-1321	KIT
4655	hsa-miR-103a-2-5p	FAS
4656	hsa-miR-4692	FANCA
4657	hsa-miR-628-5p	CANT1
4661	hsa-miR-572	PIK3R1
4665	hsa-miR-146a-5p	SDHC
4668	hsa-miR-3616-3p	HMGA1
4674	hsa-miR-1909-3p	ERCC4
4675	hsa-miR-4462	GNAS
4677	hsa-miR-4761-5p	PCM1
4678	hsa-miR-5003-3p	SDHC
4681	hsa-miR-4754	PBX1
4685	hsa-miR-4483	5-Sep
4687	hsa-miR-4662b	SLC34A2
4690	hsa-miR-106b-5p	ABI1
4702	hsa-miR-31-3p	ABL1
4704	hsa-miR-3913-5p	MYOD1
4705	hsa-miR-3167	NRG1
4708	hsa-miR-3120-5p	BCL2
4709	hsa-miR-382-5p	MYO5A
4711	hsa-miR-548ao-5p	GNAS
4713	hsa-miR-4803	MAP3K13
4716	hsa-miR-663b	CREB3L2
4718	hsa-miR-198	IL21R
4721	hsa-miR-4723-3p	NCKIPSD
4723	hsa-miR-218-1-3p	NRG1
4726	hsa-miR-146a-3p	ELK4
4727	hsa-miR-425-5p	AFF4
4728	hsa-miR-4711-3p	BCL2
4730	hsa-miR-93-5p	AFF4
4731	hsa-miR-124-3p	AKT2
4734	hsa-miR-3622a-5p	AKT2
4737	hsa-miR-485-5p	RUNX1
4739	hsa-miR-4638-5p	TRAF7
4740	hsa-miR-3137	PBX1
4741	hsa-miR-342-5p	ERCC4
4742	hsa-miR-4317	PAX3
4746	hsa-miR-4451	GRIN2A
4747	hsa-miR-197-5p	GRIN2A
4748	hsa-miR-3132	GRIN2A
4749	hsa-miR-4419a	MYO5A
4751	hsa-miR-3159	REL
4757	hsa-miR-1226-3p	ELN
4762	hsa-miR-4293	RNF213
4763	hsa-miR-3925-3p	IKBKB
4766	hsa-miR-2392	PDGFRB
4767	hsa-miR-4514	FANCA
4768	hsa-miR-23b-3p	HLA-A
4769	hsa-miR-23c	HLA-A
4772	hsa-miR-130a-5p	HLA-A
4773	hsa-miR-23a-3p	HLA-A
4776	hsa-miR-4633-5p	HLA-A
4778	hsa-miR-5100	PDGFB
4780	hsa-miR-302c-5p	JAK1
4781	hsa-miR-4293	GNAS
4785	hsa-miR-4298	MYOD1
4786	hsa-miR-4761-5p	LSM14A
4788	hsa-miR-3143	JAK1
4790	hsa-miR-5696	CDKN1B
4791	hsa-miR-3183	NCKIPSD
4793	hsa-miR-3122	MYOD1
4794	hsa-miR-608	5-Sep
4796	hsa-miR-4680-5p	NRG1
4800	hsa-miR-30a-3p	ACSL6
4812	hsa-miR-30e-3p	ACSL6
4818	hsa-miR-5692b	MTCP1
4819	hsa-miR-5692c	MTCP1
4821	hsa-miR-5095	NRG1
4824	hsa-miR-619	BCL9
4825	hsa-miR-320a	HNF1A
4826	hsa-miR-320b	HNF1A
4827	hsa-miR-320c	HNF1A
4828	hsa-miR-320d	HNF1A
4829	hsa-miR-4429	HNF1A
4830	hsa-miR-5011-3p	NIN
4831	hsa-miR-631	BCL9
4834	hsa-miR-1915-3p	POLE
4835	hsa-miR-193a-5p	RUNX1T1
4849	hsa-miR-4479	NRG1
4852	hsa-miR-4708-5p	PAX3
4853	hsa-miR-377-3p	FGFR1
4862	hsa-miR-4772-5p	KAT6A
4865	hsa-miR-532-3p	GNAS
4867	hsa-miR-3065-3p	CIC
4869	hsa-miR-492	BCL9
4870	hsa-miR-876-5p	NRG1
4873	hsa-miR-624-3p	MECOM
4880	hsa-miR-338-5p	IRF4
4882	hsa-miR-4756-5p	KIT
4884	hsa-miR-3692-3p	EGFR
4885	hsa-miR-542-3p	NCOR1
4887	hsa-miR-25-3p	TOP1
4888	hsa-miR-508-5p	KDM5C
4889	hsa-miR-4647	SLC34A2
4893	hsa-miR-4722-5p	BMPR1A
4894	hsa-miR-1307-3p	TRAF7
4895	hsa-miR-3188	MAX
4896	hsa-miR-4737	PAX3
4897	hsa-miR-4739	ACSL6
4903	hsa-miR-4695-5p	STIL
4905	hsa-miR-363-3p	TOP1
4907	hsa-miR-146b-5p	SDHC
4920	hsa-miR-3119	MLF1
4926	hsa-miR-1197	ERBB3
4927	hsa-miR-3145-5p	FBXO11
4929	hsa-miR-3943	ABL2
4936	hsa-miR-1283	MET
4938	hsa-miR-370	RNF213
4940	hsa-miR-4428	SDHC
4943	hsa-miR-4762-3p	HNF1A
4944	hsa-miR-4746-3p	REL
4945	hsa-miR-188-3p	AMER1
4948	hsa-miR-3919	HOXD11
4949	hsa-miR-1226-3p	WHSC1
4953	hsa-miR-564	AKT2
4956	hsa-miR-365b-5p	DDX10
4957	hsa-miR-3191-5p	ELK4
4958	hsa-miR-320e	HNF1A
4961	hsa-miR-155-5p	PAX3
4963	hsa-miR-188-3p	GNAS
4965	hsa-miR-92b-3p	TOP1
4967	hsa-miR-532-5p	HLA-A
4969	hsa-miR-1302	MYOD1
4971	hsa-miR-5007-5p	C2orf44
4972	hsa-miR-4697-5p	MLF1
4979	hsa-miR-425-3p	FANCA
4980	hsa-miR-4774-5p	GATA3
4982	hsa-miR-92a-3p	TOP1
4983	hsa-miR-4712-3p	FANCD2
4987	hsa-let-7i-3p	RAF1
4989	hsa-miR-3975	FANCD2
4990	hsa-miR-3135a	RABEP1
4992	hsa-miR-365a-5p	DDX10
4993	hsa-miR-1469	TRAF7
4994	hsa-miR-3126-5p	DDX10
4996	hsa-miR-3649	MYOD1
4997	hsa-miR-3621	RUNX1T1
5013	hsa-miR-4488	MLF1
5021	hsa-miR-2277-5p	NRG1
5024	hsa-miR-32-3p	BRIP1
5025	hsa-miR-4272	BRIP1
5063	hsa-miR-1470	ERG
5075	hsa-miR-4497	ERG
5087	hsa-miR-5192	MLF1
5093	hsa-miR-4428	MLF1
5108	hsa-miR-3607-3p	KAT6A
5111	hsa-miR-1183	KAT6A
5114	hsa-miR-377-5p	NSD1
5117	hsa-miR-3176	SRSF2
5118	hsa-miR-200b-3p	SRSF2
5119	hsa-miR-200c-3p	SRSF2
5120	hsa-miR-429	SRSF2
5121	hsa-miR-892b	SRSF2
5122	hsa-miR-193a-3p	SRSF2
5123	hsa-miR-193b-3p	SRSF2
5126	hsa-miR-506-3p	TET1
5127	hsa-miR-3910	TET1
5128	hsa-miR-4521	TET1
5129	hsa-miR-5582-5p	TET1
5130	hsa-miR-124-3p	TET1
5131	hsa-miR-3714	TET1
5133	hsa-miR-1233	PSIP1
5134	hsa-miR-1225-3p	PSIP1
5136	hsa-miR-4476	FGFR1
5137	hsa-miR-509-3-5p	FGFR1
5139	hsa-miR-509-5p	FGFR1
5149	hsa-miR-1207-3p	PIK3R1
5150	hsa-miR-4519	FGFR1
5151	hsa-miR-18a-3p	FGFR1
5156	hsa-miR-141-3p	FGFR1
5187	hsa-miR-491-5p	EGFR
5211	hsa-miR-5197-3p	FGFR1
5262	hsa-miR-5008-3p	HRAS
5283	hsa-miR-597	LCK
5318	hsa-miR-1185-1-3p	NRAS
5319	hsa-miR-1185-2-3p	NRAS
5338	hsa-miR-4717-3p	LCK
5340	hsa-let-7f-2-3p	NRAS
5343	hsa-miR-3660	RET
5358	hsa-miR-3200-5p	PTPN11
5359	hsa-miR-3915	PTPN11
5360	hsa-miR-3928	PTPN11
5361	hsa-miR-4496	PTPN11
5363	hsa-miR-548a-3p	JAK3
5364	hsa-miR-548ar-3p	JAK3
5365	hsa-miR-221-5p	JAK3
5366	hsa-miR-4794	JAK3
5367	hsa-miR-664-5p	JAK3
5368	hsa-miR-19a-3p	FGFR3
5369	hsa-miR-19b-3p	FGFR3
5370	hsa-miR-518a-5p	FGFR3
5371	hsa-miR-527	FGFR3
5380	hsa-miR-26b-3p	KIT
5381	hsa-miR-4652-3p	KIT
5385	hsa-miR-4773	KDR
5393	hsa-miR-1184	FGFR1
5394	hsa-miR-1301	FGFR1
5395	hsa-miR-200a-3p	FGFR1
5396	hsa-miR-5047	FGFR1
5443	hsa-miR-4274	FGFR1
5460	hsa-miR-324-3p	FGFR1
5493	hsa-miR-4310	RET
5494	hsa-miR-888-3p	RET
5497	hsa-miR-4418	FGFR1
5513	hsa-miR-4524a-5p	FGFR1
5522	hsa-miR-128	PIK3R1
5526	hsa-miR-573	KIT
5531	hsa-miR-548e	JAK3
5532	hsa-miR-4524b-5p	FGFR1
5541	hsa-miR-132-5p	EGFR
5542	hsa-miR-1245a	FLT3
5559	hsa-miR-3616-5p	KIT
5561	hsa-miR-3193	HRAS
5562	hsa-miR-374b-3p	FGFR1
5571	hsa-miR-3681-3p	PIK3R1
5583	hsa-miR-4783-3p	KIT
5585	hsa-miR-874	CDK4
5586	hsa-miR-759	LCK
5588	hsa-miR-548f	JAK3
5589	hsa-miR-548g-3p	JAK3
5590	hsa-miR-5093	PTPN11
5591	hsa-miR-3185	FGFR1
5600	hsa-miR-1183	JAK3
5601	hsa-miR-587	FGFR3
5609	hsa-miR-568	RET
5610	hsa-miR-589-3p	KDR
5611	hsa-miR-650	FGFR1
5621	hsa-miR-3157-3p	CDK4
5622	hsa-miR-566	JAK3
5623	hsa-miR-452-3p	FGFR2
5630	hsa-miR-4290	CDK4
5631	hsa-miR-3612	FGFR1
5641	hsa-miR-4252	FGFR2
5649	hsa-miR-96-3p	TTL
5650	hsa-miR-452-5p	ETV1
5651	hsa-miR-4676-3p	ETV1
5652	hsa-miR-548g-3p	ETV1
5671	hsa-miR-29b-1-5p	EML4
5672	hsa-miR-29b-2-5p	EML4
5678	hsa-miR-3973	PTPRB
5680	hsa-miR-520g	PTPRB
5681	hsa-miR-520h	PTPRB
5682	hsa-miR-548a-5p	PTPRB
5683	hsa-miR-548ab	PTPRB
5684	hsa-miR-548ak	PTPRB
5685	hsa-miR-548am-5p	PTPRB
5686	hsa-miR-548ap-5p	PTPRB
5687	hsa-miR-548aq-5p	PTPRB
5688	hsa-miR-548ar-5p	PTPRB
5689	hsa-miR-548as-5p	PTPRB
5690	hsa-miR-548au-5p	PTPRB
5691	hsa-miR-548b-5p	PTPRB
5692	hsa-miR-548c-5p	PTPRB
5693	hsa-miR-548d-5p	PTPRB
5694	hsa-miR-548h-5p	PTPRB
5695	hsa-miR-548i	PTPRB
5696	hsa-miR-548j	PTPRB
5697	hsa-miR-548o-5p	PTPRB
5698	hsa-miR-548w	PTPRB
5699	hsa-miR-548y	PTPRB
5783	hsa-miR-103a-3p	MDM4
5784	hsa-miR-107	MDM4
5786	hsa-miR-761	MDM4
5787	hsa-miR-922	MDM4
5798	hsa-miR-548ae	MDM4
5799	hsa-miR-548ah-3p	MDM4
5800	hsa-miR-548aj-3p	MDM4
5801	hsa-miR-548am-3p	MDM4
5802	hsa-miR-548aq-3p	MDM4
5803	hsa-miR-548x-3p	MDM4
5816	hsa-miR-4643	BIRC3
5817	hsa-miR-4717-3p	BIRC3
5823	hsa-miR-376a-3p	SLC34A2
5824	hsa-miR-376b	SLC34A2
5825	hsa-miR-3976	SLC34A2
5832	hsa-miR-326	ELF4
5833	hsa-miR-330-5p	ELF4
5835	hsa-miR-4488	ELF4
5837	hsa-miR-4665-5p	ELF4
5838	hsa-miR-4667-5p	ELF4
5839	hsa-miR-4697-5p	ELF4
5840	hsa-miR-637	ELF4
5852	hsa-miR-1193	NKX2-1
5853	hsa-miR-323a-5p	NKX2-1
5855	hsa-miR-432-3p	NKX2-1
5862	hsa-miR-18a-5p	ELK4
5863	hsa-miR-18b-5p	ELK4
5864	hsa-miR-3140-3p	ELK4
5865	hsa-miR-4735-3p	ELK4
5866	hsa-miR-1290	MDM2
5867	hsa-miR-541-5p	MDM2
5868	hsa-miR-4695-5p	ERC1
5869	hsa-miR-4709-3p	ERC1
5872	hsa-miR-1243	TCF3
5873	hsa-miR-3148	TCF3
5874	hsa-miR-3654	TCF3
5875	hsa-miR-875-3p	TCF3
5876	hsa-miR-3167	C2orf44
5878	hsa-miR-497-3p	CRTC1
5879	hsa-miR-548aa	CRTC1
5880	hsa-miR-548ac	CRTC1
5881	hsa-miR-548ap-3p	CRTC1
5882	hsa-miR-548d-3p	CRTC1
5883	hsa-miR-548h-3p	CRTC1
5884	hsa-miR-548t-3p	CRTC1
5885	hsa-miR-548z	CRTC1
5894	hsa-miR-3613-3p	FUBP1
5895	hsa-miR-607	FUBP1
5896	hsa-miR-4506	SRSF3
5897	hsa-miR-3148	PLAG1
5898	hsa-miR-3688-3p	PLAG1
5903	hsa-miR-548ac	NONO
5904	hsa-miR-548at-3p	NONO
5905	hsa-miR-548d-3p	NONO
5906	hsa-miR-548h-3p	NONO
5907	hsa-miR-548z	NONO
5936	hsa-miR-3162-3p	AFF4
5938	hsa-miR-4640-3p	AFF4
5939	hsa-miR-329	KRAS
5940	hsa-miR-362-3p	KRAS
5941	hsa-miR-3941	KRAS
5943	hsa-miR-603	KRAS
5949	hsa-miR-185-3p	TAL1
5950	hsa-miR-3675-5p	TAL1
5951	hsa-miR-4492	TAL1
5952	hsa-miR-4675	TAL1
5953	hsa-miR-762	TAL1
