	miRNA	Genesymbol
248	hsa-miR-4792	ERCC4
249	hsa-miR-3665	ERCC4
250	hsa-miR-125a-3p	ERCC4
253	hsa-miR-548p	ETNK1
254	hsa-miR-3613-3p	ETNK1
258	hsa-miR-590-3p	ETNK1
259	hsa-miR-4775	ETNK1
261	hsa-miR-3664-5p	FGFR2
274	hsa-miR-3148	FUBP1
279	hsa-miR-1305	KAT6A
288	hsa-miR-3681-5p	KDM5A
289	hsa-miR-4796-3p	KDM5A
290	hsa-miR-548t-5p	KDM5A
291	hsa-miR-1261	KDM5A
292	hsa-miR-548ao-3p	KIAA1549
294	hsa-miR-338-3p	KLK2
295	hsa-miR-4530	KLK2
303	hsa-miR-4679	LPP
311	hsa-miR-603	MLLT6
312	hsa-miR-329	MLLT6
313	hsa-miR-362-3p	MLLT6
318	hsa-miR-155-3p	MSN
319	hsa-miR-624-3p	MSN
320	hsa-miR-4775	NBN
321	hsa-miR-590-3p	NBN
322	hsa-miR-4535	NT5C2
324	hsa-miR-4776-5p	NT5C2
325	hsa-miR-3619-3p	NT5C2
326	hsa-miR-4529-3p	NT5C2
327	hsa-miR-4520b-3p	NT5C2
334	hsa-miR-4318	PAX8
335	hsa-miR-892a	PAX8
336	hsa-miR-4693-5p	PAX8
352	hsa-miR-4766-3p	PDE4DIP
379	hsa-miR-607	RNF213
380	hsa-miR-3613-3p	RNF213
381	hsa-miR-4665-5p	SPECC1
382	hsa-miR-1275	SPECC1
383	hsa-miR-5572	SPECC1
384	hsa-miR-4260	SPECC1
385	hsa-miR-450a-3p	SPECC1
386	hsa-miR-129-5p	SPECC1
400	hsa-miR-4302	SUZ12
401	hsa-miR-3919	TRIP11
402	hsa-miR-4786-3p	TRIP11
403	hsa-miR-4753-3p	TSHR
404	hsa-miR-130b-5p	TSHR
405	hsa-miR-10b-3p	TSHR
406	hsa-miR-5705	VTI1A
407	hsa-miR-4707-5p	ZNF331
408	hsa-miR-5587-3p	ZNF331
435	hsa-miR-4436b-3p	AKT2
436	hsa-miR-4509	AKT2
441	hsa-miR-330-3p	FGFR1
472	hsa-miR-3692-3p	JAK1
473	hsa-miR-3124-3p	JAK1
487	hsa-miR-944	MLF1
494	hsa-miR-3942-5p	NIN
495	hsa-miR-4703-5p	NIN
496	hsa-miR-4317	PAX3
499	hsa-miR-3945	PAX3
500	hsa-miR-4253	PAX3
501	hsa-miR-1256	PAX3
527	hsa-miR-574-3p	PRDM16
543	hsa-miR-4501	PWWP2A
544	hsa-miR-134	PWWP2A
545	hsa-miR-3118	PWWP2A
546	hsa-miR-3164	PWWP2A
550	hsa-miR-4317	TPR
551	hsa-miR-1226-5p	HMGA1
564	hsa-miR-5006-5p	ABL2
618	hsa-miR-4728-3p	CANT1
648	hsa-let-7a-3p	PAFAH1B2
657	hsa-miR-940	CRTC1
659	hsa-miR-548n	BTG1
666	hsa-miR-4745-3p	ELL
697	hsa-miR-3679-3p	LHFP
707	hsa-let-7b-3p	PAFAH1B2
713	hsa-miR-1253	LPP
715	hsa-miR-4445-3p	IKBKB
725	hsa-let-7f-1-3p	PAFAH1B2
748	hsa-miR-519d	ABI1
940	hsa-miR-520g	ABI1
962	hsa-miR-3154	GAS7
1037	hsa-miR-323a-3p	HLA-A
1044	hsa-miR-4446-5p	LHFP
1091	hsa-miR-4789-5p	PAFAH1B2
