	miRNA	Genesymbol
698	hsa-miR-1250	HCK
704	hsa-miR-323b-3p	WHSC1
705	hsa-miR-744-3p	TOP1
706	hsa-miR-298	WISP1
707	hsa-miR-624-5p	SYK
711	hsa-miR-548as-3p	BCL11A
712	hsa-miR-4713-3p	ZNF320
713	hsa-miR-4689	PML
714	hsa-miR-520c-3p	PCM1
716	hsa-miR-512-3p	PCM1
717	hsa-miR-4648	SPECC1
721	hsa-miR-644b-3p	CDKN1B
722	hsa-miR-181a-5p	PSMD10
723	hsa-miR-4278	CCND2
724	hsa-miR-3064-3p	GNAS
726	hsa-miR-216a	CBL
727	hsa-miR-1306-5p	TCTA
728	hsa-miR-566	HRAS
730	hsa-miR-660-3p	PIK3R1
734	hsa-miR-5589-5p	TCTA
735	hsa-miR-607	PAX3
736	hsa-miR-5008-3p	KAT6A
739	hsa-miR-3942-3p	CRKL
740	hsa-miR-570-3p	AURKA
746	hsa-miR-1273g-5p	KAT6A
749	hsa-miR-451a	ARHGEF12
751	hsa-miR-367-3p	MECOM
762	hsa-miR-4699-5p	KAT6A
765	hsa-miR-652-3p	PLAG1
768	hsa-miR-3663-5p	RUNX1T1
783	hsa-miR-323b-5p	ZNF320
784	hsa-miR-1909-5p	HOPX
786	hsa-miR-3178	STIL
789	hsa-miR-371a-3p	HOPX
790	hsa-miR-4316	PAX3
791	hsa-miR-30c-1-3p	SS18
796	hsa-miR-646	TPM3
797	hsa-miR-20b-5p	GAS7
802	hsa-miR-4753-5p	ERBB3
803	hsa-miR-1305	PICALM
807	hsa-miR-4299	PML
808	hsa-miR-600	PATZ1
809	hsa-miR-16-5p	WHSC1
810	hsa-miR-3688-5p	CRKL
811	hsa-miR-4670-3p	PDGFRB
812	hsa-miR-4252	PBX1
813	hsa-miR-4684-5p	ARHGAP26
818	hsa-miR-411-5p	GAS7
822	hsa-miR-20a-5p	GAS7
826	hsa-miR-1271-5p	EPS15
828	hsa-miR-106b-5p	AKT2
831	hsa-miR-4802-5p	KIT
835	hsa-miR-634	WHSC1
836	hsa-miR-3161	SUZ12
837	hsa-miR-195-5p	WHSC1
838	hsa-miR-181b-5p	PSMD10
839	hsa-miR-4264	ARAF
845	hsa-miR-4499	BCL6
848	hsa-miR-4458	GAS7
852	hsa-miR-4786-5p	LITAF
855	hsa-miR-503	GNAS
857	hsa-miR-25-3p	MECOM
864	hsa-miR-138-5p	PML
866	hsa-miR-942	BCAS4
869	hsa-miR-186-3p	SYK
873	hsa-miR-5011-3p	KAT6A
876	hsa-miR-3190-5p	RNF213
877	hsa-miR-144-5p	TCTA
878	hsa-miR-5692a	HMGA2
879	hsa-miR-124-5p	CRKL
880	hsa-miR-302c-5p	PSMD10
881	hsa-miR-363-3p	MECOM
888	hsa-miR-4710	PML
889	hsa-miR-490-3p	FGF5
891	hsa-miR-609	BCAS4
892	hsa-miR-497-5p	WHSC1
895	hsa-miR-205-3p	ERBB4
897	hsa-miR-200a-5p	ING3
898	hsa-miR-526b-3p	PCM1
900	hsa-miR-4443	KIT
916	hsa-miR-5590-3p	AFF4
917	hsa-miR-5096	ERBB3
918	hsa-miR-532-5p	WHSC1
920	hsa-miR-5006-5p	TAL1
921	hsa-miR-490-3p	GNAS
922	hsa-miR-3167	PAX3
925	hsa-miR-2355-3p	ZNF320
926	hsa-miR-5192	AKAP13
932	hsa-miR-3689a-5p	TCTA
933	hsa-miR-3689b-5p	TCTA
934	hsa-miR-3689e	TCTA
935	hsa-miR-372	AKT2
938	hsa-miR-5089	REL
940	hsa-miR-4712-5p	USP4
941	hsa-miR-676-5p	AFF4
942	hsa-miR-181b-3p	PML
945	hsa-miR-676-5p	FGF5
953	hsa-miR-3928	WNT1
956	hsa-miR-30b-3p	SS18
958	hsa-miR-618	DEK
960	hsa-miR-520e	PCM1
961	hsa-miR-543	SUZ12
962	hsa-miR-501-3p	AFF4
963	hsa-miR-5010-5p	CCND2
964	hsa-miR-4652-5p	ARAF
967	hsa-miR-524-5p	WISP1
968	hsa-miR-4494	BCL6
971	hsa-miR-1207-3p	VAV2
973	hsa-miR-4322	SPECC1
976	hsa-miR-10b-3p	CRKL
977	hsa-miR-543	PSMD10
978	hsa-miR-5585-5p	SYK
982	hsa-miR-142-5p	AFF4
985	hsa-miR-298	GFI1
990	hsa-miR-552	KRAS
991	hsa-miR-3915	PAX3
992	hsa-miR-770-5p	USP4
993	hsa-miR-1278	RUNX1
995	hsa-miR-770-5p	RARA
999	hsa-miR-302e	TCTA
1000	hsa-miR-4684-5p	MDM2
1003	hsa-miR-4755-3p	TAL1
1004	hsa-miR-376a-3p	PDGFD
1006	hsa-miR-1276	CARS
1008	hsa-miR-129-5p	JAK2
1009	hsa-miR-3143	PSMD10
1010	hsa-miR-372	TCTA
1011	hsa-miR-106a-5p	GAS7
1012	hsa-miR-17-5p	GAS7
1019	hsa-miR-4497	THRB
1023	hsa-miR-323b-3p	FGFR2
1029	hsa-miR-607	FOXO1
1030	hsa-miR-1281	HRAS
1032	hsa-miR-4284	USP4
1033	hsa-miR-93-5p	TCTA
1034	hsa-miR-2681-3p	PAX7
1036	hsa-miR-3148	PAX5
1037	hsa-miR-4296	SPECC1
1040	hsa-miR-4515	ABL2
1047	hsa-miR-4679	WDR11
1048	hsa-miR-143-5p	REL
1049	hsa-miR-302d-3p	AKT2
1052	hsa-miR-30c-2-3p	SS18
1054	hsa-miR-331-5p	MAFB
1055	hsa-miR-92b-3p	MECOM
1062	hsa-miR-5008-3p	AFF4
1063	hsa-miR-424-3p	BCAS3
1065	hsa-miR-545-3p	GNAS
1067	hsa-miR-764	GNAS
1069	hsa-miR-4735-3p	GNAS
1070	hsa-miR-3143	SUZ12
1071	hsa-miR-4705	BTG1
1072	hsa-miR-4740-5p	ABL2
1092	hsa-miR-128	GNAS
1093	hsa-miR-548ak	FGF5
1094	hsa-miR-637	FGF5
1095	hsa-miR-649	FGF5
1096	hsa-miR-2276	WHSC1
1097	hsa-miR-519d	AKT2
1100	hsa-miR-4329	ERBB3
1101	hsa-miR-376b	PDGFD
1103	hsa-miR-148a-3p	GNAS
1104	hsa-miR-148b-3p	GNAS
1105	hsa-miR-152	GNAS
1110	hsa-miR-1255b-2-3p	PIK3R1
1114	hsa-miR-3138	FOXO4
1116	hsa-miR-4654	SPECC1
1122	hsa-miR-548a-5p	FGF5
1125	hsa-miR-384	AKAP13
1127	hsa-miR-3714	AKT2
1130	hsa-miR-5581-5p	PBX1
1131	hsa-miR-4682	HOPX
1137	hsa-miR-548y	FGF5
1139	hsa-miR-186-3p	PCM1
