	Driver Oncogenes with Disrupted Binding Site	Driver Tumor Suppressor Gene with Created Binding Site	Unclassified Driver Gene with Mutated Binding Site	Total # Mutated Driver Gene Binding Sites
hsa-miR-4722-5p		EEF1A1		1
hsa-miR-4723-5p			SMURF2	1
hsa-miR-4724-5p			SH2B3	1
hsa-miR-4725-5p		THRAP3		1
hsa-miR-4726-3p	ZNF814			1
hsa-miR-4726-5p		FXR1		1
hsa-miR-4727-3p		KEAP1		1
hsa-miR-4729		FXR1		1
hsa-miR-4730			PRKCZ	1
hsa-miR-4731-5p		TP53		1
hsa-miR-4735-3p			JMY	1
hsa-miR-4736	SOX17			1
hsa-miR-4737	SIN3A			1
hsa-miR-4738-5p	FKBP5			1
hsa-miR-4739	KIT			1
hsa-miR-4742-3p	AHR			1
hsa-miR-4742-5p		CDC27		1
hsa-miR-4747-5p		KDM5C		1
hsa-miR-4748		ZMYM2		1
hsa-miR-4755-5p		CTCF		1
hsa-miR-4756-5p	KIT			1
hsa-miR-4758-3p		CDKN2B		1
hsa-miR-4760-3p		GNG2		1
hsa-miR-4762-3p	HNF1A			1
hsa-miR-4762-5p		TCF7L2		1
hsa-miR-4763-3p		MAP2K4		1
hsa-miR-4766-3p		CCAR1		1
hsa-miR-4768-5p		IRS2		1
hsa-miR-4770	ERBB3			1
hsa-miR-4773	KDR			1
hsa-miR-4774-5p	BPTF			1
hsa-miR-4778-3p	POM121			1
hsa-miR-4778-5p			MYC	1
hsa-miR-4781-5p	WNT5A			1
hsa-miR-4783-3p	KIT			1
hsa-miR-4787-3p			TNPO1	1
hsa-miR-4787-5p		ARHGAP26		1
hsa-miR-4790-3p	KALRN			1
hsa-miR-4793-3p		CYLD		1
hsa-miR-4804-5p	ABL2			1
hsa-miR-483-3p		CDKN2B		1
hsa-miR-483-5p		KEAP1		1
hsa-miR-485-3p		FAS		1
hsa-miR-485-5p	MAX			1
hsa-miR-486-3p	SOX17			1
hsa-miR-490-5p	POM121			1
hsa-miR-491-3p	NTRK2			1
hsa-miR-491-5p	EGFR			1
hsa-miR-4999-3p			WHSC1	1
hsa-miR-499a-3p		FOXP1		1
hsa-miR-499b-3p		FOXP1		1
hsa-miR-5006-3p		CTCF		1
hsa-miR-5006-5p	ABL2			1
hsa-miR-5008-3p	HRAS			1
hsa-miR-5008-5p			CUX1	1
hsa-miR-500a-5p	ROBO2			1
hsa-miR-502-5p		TBX3		1
hsa-miR-504		THRAP3		1
hsa-miR-505-5p	ASH1L			1
hsa-miR-508-5p			STK4	1
hsa-miR-5089		TFDP2		1
hsa-miR-509-3-5p			FGFR1	1
hsa-miR-509-5p			FGFR1	1
hsa-miR-5091			PTCH1	1
hsa-miR-5092		STK11		1
hsa-miR-510		CDKN2A		1
hsa-miR-512-5p		TBL1XR1		1
hsa-miR-517-5p		PTGS1		1
hsa-miR-5189		ARHGAP26		1
hsa-miR-5190		STK11		1
hsa-miR-5192	STARD13			1
hsa-miR-5194		EP300		1
hsa-miR-5196-3p	GNAS			1
hsa-miR-5196-5p		KDM5C		1
hsa-miR-5197-3p			FGFR1	1
hsa-miR-519a-3p			AFF4	1
hsa-miR-519b-3p			AFF4	1
hsa-miR-519c-3p			AFF4	1
hsa-miR-520a-3p		TP53		1
hsa-miR-520b		TP53		1
hsa-miR-520c-3p		TP53		1
hsa-miR-520d-3p		TP53		1
hsa-miR-520e		TP53		1
