Genesymbol	miRNA
SMAP2	hsa-miR-4476
WHSC1	hsa-miR-15b-5p
KAT5	hsa-miR-555
PCM1	hsa-miR-93-5p
HOPX	hsa-miR-515-3p
NR4A3	hsa-miR-548l
PCM1	hsa-miR-20b-5p
PBX1	hsa-miR-4494
STIL	hsa-miR-30b-3p
BCAS4	hsa-miR-4778-3p
AKT2	hsa-miR-106a-5p
AKT2	hsa-miR-17-5p
PSMD10	hsa-miR-181d
PCM1	hsa-miR-520d-3p
GAS7	hsa-miR-93-5p
SYK	hsa-miR-520h
GNAS	hsa-miR-888-3p
MCF2	hsa-miR-4659a-5p
AKT2	hsa-miR-20b-5p
SYK	hsa-miR-520g
PBX1	hsa-miR-324-3p
CCND2	hsa-miR-625-5p
PCM1	hsa-miR-520h
ELL	hsa-miR-1247-5p
PCM1	hsa-miR-106a-5p
PCM1	hsa-miR-17-5p
PCM1	hsa-miR-520b
FURIN	hsa-miR-570-3p
KDSR	hsa-miR-5095
AURKA	hsa-miR-3591-3p
NET1	hsa-miR-551b-5p
PML	hsa-miR-4316
GAS7	hsa-let-7d-5p
STIL	hsa-miR-3689b-3p
STIL	hsa-miR-3689c
TPM3	hsa-miR-621
PDGFRB	hsa-miR-573
PCM1	hsa-miR-20a-5p
AKT2	hsa-miR-553
GNAS	hsa-miR-3681-3p
STIL	hsa-miR-3689a-3p
PBX1	hsa-miR-4771
TOP1	hsa-miR-4684-3p
AKAP13	hsa-miR-665
GAS7	hsa-miR-3154
PBX1	hsa-miR-1273g-3p
PIK3R1	hsa-miR-5193
WHSC1	hsa-miR-15a-5p
PCM1	hsa-miR-302c-3p
AKT2	hsa-miR-526b-3p
SPECC1	hsa-miR-4289
PCM1	hsa-miR-106b-5p
SS18	hsa-miR-3122
CRKL	hsa-miR-5100
REL	hsa-miR-5693
PCM1	hsa-miR-372
TCTA	hsa-miR-3689f
FOXO4	hsa-miR-4519
CDKN1B	hsa-miR-579
TPM3	hsa-miR-424-5p
BCL11A	hsa-miR-652-5p
HCK	hsa-miR-1250
WHSC1	hsa-miR-323b-3p
TOP1	hsa-miR-744-3p
WISP1	hsa-miR-298
SYK	hsa-miR-624-5p
BCL11A	hsa-miR-548as-3p
ZNF320	hsa-miR-4713-3p
PML	hsa-miR-4689
PCM1	hsa-miR-520c-3p
ETV6	hsa-miR-1277-5p
PCM1	hsa-miR-512-3p
SPECC1	hsa-miR-4648
CDKN1B	hsa-miR-644b-3p
PSMD10	hsa-miR-181a-5p
CCND2	hsa-miR-4278
GNAS	hsa-miR-3064-3p
CBL	hsa-miR-216a
TCTA	hsa-miR-1306-5p
HRAS	hsa-miR-566
PIK3R1	hsa-miR-660-3p
TCTA	hsa-miR-5589-5p
PAX3	hsa-miR-607
KAT6A	hsa-miR-5008-3p
CRKL	hsa-miR-3942-3p
AURKA	hsa-miR-570-3p
KAT6A	hsa-miR-1273g-5p
ARHGEF12	hsa-miR-451a
MECOM	hsa-miR-367-3p
SMAP2	hsa-miR-603
KAT6A	hsa-miR-4699-5p
PLAG1	hsa-miR-652-3p
RUNX1T1	hsa-miR-3663-5p
ZNF320	hsa-miR-323b-5p
HOPX	hsa-miR-1909-5p
STIL	hsa-miR-3178
HOPX	hsa-miR-371a-3p
