	Driver Oncogenes with Disrupted Binding Site	Driver Tumor Suppressor Gene with Created Binding Site	Unclassified Driver Gene with Mutated Binding Site	Total # Mutated Driver Gene Binding Sites
hsa-miR-193a-3p			IRF6	1
hsa-miR-193b-3p			IRF6	1
hsa-miR-193b-5p	ADCY1,DIS3	ARHGAP26		3
hsa-miR-194-3p	HCFC1,STARD13			2
hsa-miR-194-5p	BRWD1,KALRN			2
hsa-miR-195-3p	ACACA			1
hsa-miR-195-5p		CYLD	WHSC1	2
hsa-miR-196a-3p		ARHGAP26,CHD3		2
hsa-miR-197-3p	ERBB3			1
hsa-miR-1973		CDKN2A		1
hsa-miR-1976			CNOT4	1
hsa-miR-19a-3p	LRP6,FGFR3			2
hsa-miR-19a-5p		PPP2R5A		1
hsa-miR-19b-1-5p		PPP2R5A		1
hsa-miR-19b-2-5p		PPP2R5A		1
hsa-miR-19b-3p	LRP6,FGFR3			2
hsa-miR-200a-3p	LPHN2		FGFR1	2
hsa-miR-202-3p		EEF1A1,TBL1XR1	FGFR1	3
hsa-miR-203	NTRK2			1
hsa-miR-204-3p	LPHN2,ERBB3,DIS3,ADCY1			4
hsa-miR-204-5p	PLCB1,HNF1A			2
hsa-miR-205-3p	EGFR	ZNF292		2
hsa-miR-2052		PPP2R5A,FBXW7		2
hsa-miR-2053	MCM8			1
hsa-miR-2054	PRRX1	SMAD2	FCRL4	3
hsa-miR-206		SMAD2		1
hsa-miR-208a			CUX1	1
hsa-miR-208b			CUX1	1
hsa-miR-20a-5p	AHR	MLL	PCSK5,SYK,AFF4	5
hsa-miR-20b-5p	AHR	MLL	PCSK5,SYK,AFF4	5
hsa-miR-21-3p	SMC1A			1
hsa-miR-21-5p	MCM3,BRWD1	BNC2		3
hsa-miR-210	ABL2,SIN3A			2
hsa-miR-211-5p	PLCB1,HNF1A			2
hsa-miR-2110			JMY	1
hsa-miR-2114-3p		MLL		1
hsa-miR-2115-3p	CRNKL1		AFF4	2
hsa-miR-2115-5p		EEF1A1		1
hsa-miR-2116-3p	GNAS			1
hsa-miR-2117	PTPN11			1
hsa-miR-212-5p			RGS3	1
hsa-miR-214-3p		CHD3		1
hsa-miR-214-5p		PPP2R5A		1
hsa-miR-216a	FKBP5,SIN3A	APAF1		3
hsa-miR-216b	SCAI,FKBP5,SIN3A	APAF1		4
hsa-miR-218-1-3p	PLCB1	MAP2K4		2
hsa-miR-218-2-3p	SMC1A			1
hsa-miR-22-3p			JMY	1
hsa-miR-221-3p		IRS2,NAP1L1		2
hsa-miR-221-5p			PRKCZ	1
hsa-miR-222-3p		IRS2,NAP1L1		2
hsa-miR-222-5p	EIF4A2			1
hsa-miR-223-5p	RET	NR4A2		2
hsa-miR-224-3p	AHR		SVEP1,SHMT1	3
hsa-miR-2276			WHSC1	1
hsa-miR-2277-3p		MAP2K4		1
hsa-miR-2278	NTRK2,KDR		PRKCZ	3
hsa-miR-2355-3p		FN1		1
hsa-miR-2355-5p		TBX3,TET2		2
hsa-miR-23a-3p	ADCY1,EGFR	HLA-A		3
hsa-miR-23a-5p	FKBP5			1
hsa-miR-23b-3p	ADCY1,EGFR	HLA-A		3
hsa-miR-23b-5p	FKBP5			1
hsa-miR-23c	ADCY1,EGFR	HLA-A		3
hsa-miR-24-3p	PIK3R3			1
hsa-miR-2467-3p		SMAD2		1
hsa-miR-2467-5p		SMAD2		1
hsa-miR-25-3p	MECOM		STK4	2
hsa-miR-25-5p			PRKCZ	1
hsa-miR-2681-3p		FOXP1	SYNCRIP	2
hsa-miR-2682-3p	POM121	NOTCH1		2
hsa-miR-26a-1-3p	TCF4			1
hsa-miR-26a-2-3p	TCF4			1
hsa-miR-26a-5p	NRAS			1
hsa-miR-26b-3p	KIT			1
hsa-miR-26b-5p	NRAS			1
hsa-miR-27a-3p			PTCH1	1
hsa-miR-27a-5p	TCF4,ADCY1			2
hsa-miR-27b-3p			PTCH1	1
hsa-miR-28-5p	ERBB3			1
hsa-miR-297	FGFR3	NR4A2		2
hsa-miR-298		SMAD2		1
hsa-miR-299-5p		ING1		1
hsa-miR-29a-5p	HLF			1
hsa-miR-29b-2-5p		RASA1		1
hsa-miR-301a-3p	LRP6	CDKN2A	FGFR1	3
hsa-miR-301b	LRP6	CDKN2A	FGFR1	3
hsa-miR-302a-3p	TCF4	TP53	PCSK5	3
hsa-miR-302a-5p	G3BP2,NTRK2,MCM8	FAS	SYNCRIP	5
hsa-miR-302b-3p	TCF4	TP53	PCSK5	3
hsa-miR-302b-5p			WHSC1	1
hsa-miR-302c-3p	TCF4	TP53	PCSK5	3
hsa-miR-302c-5p	ADCY1	SEC31A		2
hsa-miR-302d-3p	TCF4	TP53	PCSK5	3
hsa-miR-302d-5p			WHSC1	1
hsa-miR-302e	TCF4	TP53	PCSK5	3
hsa-miR-3064-3p	GNAS			1
hsa-miR-3065-3p		CIC		1
hsa-miR-3065-5p	LRP6	VHL	IRF6,WASF3	4
hsa-miR-30a-3p	NTRK2	ACSL6		2
hsa-miR-30a-5p		ATRX		1
hsa-miR-30b-3p	SIN3A	TFDP2,ACSL6,CIC		4
hsa-miR-30b-5p		ATRX		1
hsa-miR-30c-1-3p	SIN3A	TFDP2,ACSL6		3
hsa-miR-30c-2-3p	SIN3A	TFDP2,ACSL6		3
hsa-miR-30c-5p		ATRX		1
hsa-miR-30d-3p	NTRK2	ACSL6		2
hsa-miR-30d-5p		ATRX		1
hsa-miR-30e-3p	NTRK2	ACSL6		2
hsa-miR-30e-5p		ATRX		1
hsa-miR-31-3p	ABL1			1
hsa-miR-31-5p	ABL2	NF1		2
hsa-miR-3115	CRNKL1			1
hsa-miR-3117-5p	FGFR2	ZMYM2		2
hsa-miR-3119		ATRX		1
hsa-miR-3120-3p	NTRK2		WHSC1	2
hsa-miR-3121-3p	SCAI			1
hsa-miR-3122	SIN3A	SMAD2,TFDP2,ACSL6		4
hsa-miR-3123		ACO1		1
hsa-miR-3124-3p		FN1,RUNX1		2
hsa-miR-3128	ABL2	CHD3		2
hsa-miR-3129-3p		TJP1		1
hsa-miR-3133		RUNX1,MED23		2
hsa-miR-3135a		FBXW7		1
hsa-miR-3135b	HNF1A,LPHN2	MUC20	STK4	4
hsa-miR-3136-3p		MSR1		1
hsa-miR-3136-5p	PRRX1			1
hsa-miR-3140-5p		COPS2	CNOT4	2
hsa-miR-3143	ADCY1	SUZ12,SEC31A	ARID4A	4
hsa-miR-3145-3p		IRS2,FBXW7		2
hsa-miR-3145-5p		MSR1	FBXO11	2
hsa-miR-3146	CAT,DIS3			2
hsa-miR-3147			MYD88	1
hsa-miR-3148	PAX5	FUBP1,TP53,TOM1,MLL3,MSR1		6
hsa-miR-3149	AHR			1
hsa-miR-3150a-3p	STARD13	TP53		2
hsa-miR-3151	WNT5A			1
hsa-miR-3153	NTRK3		JMY	2
hsa-miR-3155a	HNF1A,PIK3R3			2
hsa-miR-3155b	PIK3R3,HNF1A			2
hsa-miR-3156-3p			WHSC1	1
hsa-miR-3156-5p		NCKAP1		1
hsa-miR-3157-3p		CUL3	CDK4	2
hsa-miR-3157-5p		CDKN2A		1
