miR Family	Gene Symbol
let-7/98/4458/4500	DMP1
let-7/98/4458/4500	DNA2
let-7/98/4458/4500	DNAJA2
let-7/98/4458/4500	DNAJB9
let-7/98/4458/4500	DNAJC1
let-7/98/4458/4500	DNAJC30
let-7/98/4458/4500	DNAL1
let-7/98/4458/4500	DNASE1L2
let-7/98/4458/4500	DOCK3
let-7/98/4458/4500	DOT1L
let-7/98/4458/4500	DPF2
let-7/98/4458/4500	DPF3
let-7/98/4458/4500	DPH3
let-7/98/4458/4500	DPP3
let-7/98/4458/4500	DPYSL3
let-7/98/4458/4500	DSG3
let-7/98/4458/4500	DTX2
let-7/98/4458/4500	DTX4
let-7/98/4458/4500	DUSP1
let-7/98/4458/4500	DUSP16
let-7/98/4458/4500	DUSP4
let-7/98/4458/4500	DUSP7
let-7/98/4458/4500	DUSP9
let-7/98/4458/4500	DVL3
let-7/98/4458/4500	DYRK1A
let-7/98/4458/4500	DYRK2
let-7/98/4458/4500	DZIP1
let-7/98/4458/4500	E2F2
let-7/98/4458/4500	E2F5
let-7/98/4458/4500	E2F6
let-7/98/4458/4500	EDA
let-7/98/4458/4500	EDEM1
let-7/98/4458/4500	EDEM3
let-7/98/4458/4500	EDN1
let-7/98/4458/4500	EEA1
let-7/98/4458/4500	EEF2K
let-7/98/4458/4500	EFHD2
let-7/98/4458/4500	EGLN2
let-7/98/4458/4500	EGR3
let-7/98/4458/4500	EIF2C1
let-7/98/4458/4500	EIF2C3
let-7/98/4458/4500	EIF2C4
let-7/98/4458/4500	EIF2S2
let-7/98/4458/4500	EIF4G2
let-7/98/4458/4500	ELF4
let-7/98/4458/4500	ELK4
let-7/98/4458/4500	ELOVL4
let-7/98/4458/4500	ENTPD7
let-7/98/4458/4500	EPB41
let-7/98/4458/4500	EPHA3
let-7/98/4458/4500	EPHA4
let-7/98/4458/4500	ERCC4
let-7/98/4458/4500	ERCC6
let-7/98/4458/4500	ERGIC1
let-7/98/4458/4500	ERO1L
let-7/98/4458/4500	ESPL1
let-7/98/4458/4500	ETNK1
let-7/98/4458/4500	ETNK2
let-7/98/4458/4500	EZH1
let-7/98/4458/4500	EZH2
let-7/98/4458/4500	FAM103A1
let-7/98/4458/4500	FAM104A
let-7/98/4458/4500	FAM108C1
let-7/98/4458/4500	FAM116A
let-7/98/4458/4500	FAM118A
let-7/98/4458/4500	FAM123C
let-7/98/4458/4500	FAM125B
let-7/98/4458/4500	FAM135A
let-7/98/4458/4500	FAM160B2
let-7/98/4458/4500	FAM178A
let-7/98/4458/4500	FAM189A1
let-7/98/4458/4500	FAM43A
let-7/98/4458/4500	FAM59A
let-7/98/4458/4500	FAM84B
let-7/98/4458/4500	FARP1
let-7/98/4458/4500	FAS
let-7/98/4458/4500	FASLG
let-7/98/4458/4500	FBXL12
let-7/98/4458/4500	FBXL19
let-7/98/4458/4500	FBXO22
let-7/98/4458/4500	FBXO32
let-7/98/4458/4500	FBXO45
let-7/98/4458/4500	FGD6
let-7/98/4458/4500	FGF11
let-7/98/4458/4500	FGF23
let-7/98/4458/4500	FGF5
let-7/98/4458/4500	FIGN
let-7/98/4458/4500	FIGNL2
let-7/98/4458/4500	FKBP10
let-7/98/4458/4500	FLJ36031
let-7/98/4458/4500	FNDC3A
let-7/98/4458/4500	FNDC3B
let-7/98/4458/4500	FNIP1
let-7/98/4458/4500	FOPNL
let-7/98/4458/4500	FOXN3
let-7/98/4458/4500	FOXP1
let-7/98/4458/4500	FOXP2
let-7/98/4458/4500	FRAS1
let-7/98/4458/4500	FREM2
let-7/98/4458/4500	FRMD4B
let-7/98/4458/4500	FRS2
let-7/98/4458/4500	FZD3
let-7/98/4458/4500	FZD4
let-7/98/4458/4500	GAB2
let-7/98/4458/4500	GABBR2
let-7/98/4458/4500	GABPA
let-7/98/4458/4500	GABRA6
let-7/98/4458/4500	GALC
let-7/98/4458/4500	GALE
let-7/98/4458/4500	GALNT1
let-7/98/4458/4500	GALNT2
let-7/98/4458/4500	GALNT4
let-7/98/4458/4500	GALNTL2
let-7/98/4458/4500	GAN
let-7/98/4458/4500	GAS7
let-7/98/4458/4500	GATM
let-7/98/4458/4500	GCNT4
let-7/98/4458/4500	GDAP2
let-7/98/4458/4500	GDF6
let-7/98/4458/4500	GDPD1
let-7/98/4458/4500	GEMIN7
let-7/98/4458/4500	GFOD1
let-7/98/4458/4500	GHR
let-7/98/4458/4500	GIPC1
let-7/98/4458/4500	GJA3
let-7/98/4458/4500	GJC1
let-7/98/4458/4500	GK5
let-7/98/4458/4500	GLRX
let-7/98/4458/4500	GNAL
let-7/98/4458/4500	GNAT1
let-7/98/4458/4500	GNG5
let-7/98/4458/4500	GNPTAB
let-7/98/4458/4500	GNS
let-7/98/4458/4500	GOLGA7
let-7/98/4458/4500	GOLGA7B
let-7/98/4458/4500	GOLT1B
let-7/98/4458/4500	GOPC
let-7/98/4458/4500	GP5
let-7/98/4458/4500	GPATCH3
let-7/98/4458/4500	GPCPD1
let-7/98/4458/4500	GPR132
let-7/98/4458/4500	GPR137
let-7/98/4458/4500	GPR156
let-7/98/4458/4500	GPR26
let-7/98/4458/4500	GPX7
let-7/98/4458/4500	GRAMD1C
let-7/98/4458/4500	GREB1
let-7/98/4458/4500	GRID2IP
let-7/98/4458/4500	GRIK2
let-7/98/4458/4500	GRIN3A
let-7/98/4458/4500	GRPEL2
let-7/98/4458/4500	GSDMA
let-7/98/4458/4500	GSG1L
let-7/98/4458/4500	GSPT1
let-7/98/4458/4500	GTF2I
let-7/98/4458/4500	GXYLT1
let-7/98/4458/4500	GYG2
let-7/98/4458/4500	H2AFV
let-7/98/4458/4500	HABP4
let-7/98/4458/4500	HAND1
let-7/98/4458/4500	HAS2
let-7/98/4458/4500	HBEGF
let-7/98/4458/4500	HCFC2
