	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
ALX4			14.0											27.0															
AMACR																										42.0			26.0
AMD1														66.0															
AMER1														12.0															10.0
AMER2														18.0															
AMMECR1									30.0						93.0														
AMN1														13.0															19.0
AMOTL1															31.0														
AMOTL2														37.0	10.0														
AMPD3																		180.0											
AMT														27.0															
AMTN														12.0															
ANAPC7					25.0									26.0	39.0										25.0				
ANGEL1														49.0															
ANGEL2															17.0										161.0				
ANGPT1														11.0	12.0	22.0													
ANGPT2		27.0	39.0												15.0										69.0				
ANGPT4														41.0	16.0														
ANGPTL1														12.0	14.0														
ANK1															192.0	184.0													
ANK2																													21.0
ANKEF1																									36.0				
ANKH									14.0						18.0										64.0				
ANKHD1-EIF4EBP3														4.0															
ANKLE1																									38.0				
ANKMY2																		11.0											
ANKRD12														15.0	15.0														
ANKRD13B														15.0															
ANKRD13C														18.0															
ANKRD17															48.0														
ANKRD18A																									11.0				20.0
ANKRD20A4																									19.0				
ANKRD23														52.0	26.0														
ANKRD26									70.0					32.0															
ANKRD28			54.0											39.0													57.0		
ANKRD29															19.0														
ANKRD33B			26.0																										
ANKRD34A			43.0																										
ANKRD37															16.0														
ANKRD40															26.0														
ANKRD45									29.0																				
ANKRD46															8.0														
ANKRD49														12.0															
ANKRD50														78.0	56.0														
ANKRD52														59.0	10.0														
ANKRD53																													13.0
ANKRD6											145.0														155.0				
ANKRD7																													25.0
ANKRD9												41.0																	
ANKS1A														35.0															
ANKS1B								72.0																					
ANKS3														34.0															
ANKS4B														11.0											31.0				
ANKS6														11.0		12.0													
ANO1														26.0															
ANO2														13.0															
ANO6														63.0	39.0										26.0				
