	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
ARID5B															26.0	8.0													
ARIH1				7.0										5.0															
ARIH2OS																									8.0				
ARL11																									63.0				
ARL13A																													99.0
ARL3														7.0															
ARL4A									92.0			24.0																	
ARL5A														18.0															
ARL5B															24.0														
ARL6IP5								8.0																					
ARL6IP6																													27.0
ARL8A																			10.0										
ARL8B								28.0																					35.0
ARMC10															30.0										36.0				
ARMC3														7.0															
ARMC5														18.0	6.0														19.0
ARMC6														46.0															
ARMC7															8.0														
ARMCX4														6.0															
ARMCX5-GPRASP2														11.0															
ARMS2														7.0															
ARNT									51.0																				
ARNT2															99.0														
ARNTL2																									310.0				
ARPC1B														6.0															
ARPC4-TTLL3		30.0													3.0														1.0
ARPC5																									3.0				
ARPP21															42.0														
ARRB1														26.0															
ARRDC3														19.0	8.0														
ARRDC4															18.0														
ARRDC5														10.0															
ARSB															4.0														
ARSD														5.0											17.0				
ARSJ															9.0														
ARSK															7.0										15.0				
ART1																									7.0				
ART3										27.0																			
ARTN														75.0															
ARV1															4.0														
AS3MT																									18.0				
ASAP1											24.0				8.0														
ASAP3														16.0															
ASB1														9.0	25.0														
ASB14								28.0																					
ASB15														3.0															
ASB16																									16.0				
ASB3															21.0														
ASB4														18.0															
ASB6			54.0																										75.0
ASB7														22.0															
ASB8																									8.0				
ASB9																													39.0
ASCC1																													4.0
ASCC2																			24.0										
ASCC3															9.0														
ASCL1														24.0															
ASF1A															6.0														
ASH1L														5.0	7.0														
ASIC3																													39.0
ASPA									8.0																				
ASPH			6.0											62.0				16.0											
ASPN		10.0				5.0																						4.0	18.0
ASPRV1												9.0		5.0															
ASRGL1														6.0															
ASTE1														3.0															
ASTN1															2.0														
ASTN2														135.0	15.0										56.0				27.0
ASXL2														6.0					17.0										
ASZ1																													4.0
ATAD1														9.0															
ATAD2B														8.0															
ATAD3C														14.0															
ATAT1															14.0														
ATCAY														4.0	8.0	8.0									50.0		4.0		
ATF2										5.0					7.0										15.0				7.0
ATF3																													24.0
ATF5														8.0															
ATF6															9.0														
ATF7															26.0														
ATF7IP2														11.0											14.0				15.0
ATG10																									26.0				
ATG12															11.0										10.0				
ATG13																													60.0
ATG14														18.0											17.0				
ATG16L1												40.0																150.0	
ATG2A														6.0															
ATG4A									8.0																				
ATG4B														18.0															
ATG5														21.0	5.0														
ATG7			27.0									18.0		12.0	30.0														
ATG9A																			14.0										
ATG9B																						25.0							
ATL2														4.0															
ATM																									7.0				
ATOX1														27.0															
ATP10B																		17.0											
ATP11B															2.0														
ATP12A										10.0																			
ATP13A2																									17.0				
ATP13A3														5.0	14.0														
ATP1A2														8.0											6.0				
ATP1A3														15.0															63.0
ATP1B1														12.0															
ATP1B2																									5.0				
ATP2A1														6.0															
ATP2A2														25.0					9.0						15.0				
ATP2A3																							78.0						
ATP2B1												8.0		4.0															3.0
ATP2B2														8.0	10.0														
ATP2B3										5.0													4.0						14.0
ATP2B4														6.0	32.0	12.0													
ATP2C1								24.0						77.0															
