	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
ARHGEF1														60															
ARHGEF10														28															
ARHGEF11														30															
ARHGEF12				12																									
ARHGEF26									9					33	30										126				7
ARHGEF28														30															
ARHGEF3														51															
ARHGEF33														14															
ARHGEF38			31				5			13																			
ARHGEF39														44										42	45				47
ARHGEF4														38															
ARHGEF6														31															
ARHGEF7																				36									
ARHGEF9									33					66	150														
ARID1A														46											34				
ARID3B														39															
ARID4A															54														
ARID4B														18	48														
ARID5A																													14
ARID5B															54	26													
ARIH1				14										10															
ARIH2OS																									13				
ARL11																									131				
ARL13A																													192
ARL3														12															
ARL4A									92			48																	
ARL4C									3																				
ARL5A														24															
ARL5B															33														
ARL6IP5								25																					
ARL6IP6																													39
ARL8A																			14										
ARL8B								34																					49
ARMC10															72										96				
ARMC3														14															
ARMC5														28	18														49
ARMC6														96															
ARMC7															10														
ARMCX4														19															
ARMCX5-GPRASP2														23															
ARMS2														10															
ARNT									72																				
ARNT2															156														
ARNTL2																									730				
ARPC1B														6															
ARPC4-TTLL3		42													9														7
ARPC5																									10				
ARPP21															69														
ARRB1														34															
ARRDC3														30	11														
ARRDC4															41														
ARRDC5														13															
ARSB															10														
ARSD														10											47				
ARSJ															14														
ARSK															12										65				
ART1																									17				
ART3										48																			
ARTN														105															
ARV1															9														
AS3MT																									53				
ASAP1											24			26	18														
ASAP3														26															
ASB1														20	40														
ASB13																													7
ASB14								50																					
ASB15														10															
ASB16																									26				
ASB3															36														
ASB4														28															
ASB6			123																										144
ASB7														22															
ASB8																									52				
ASB9																													84
ASCC1																													8
ASCC2																			40										
ASCC3															19														
ASCL1														34															
ASF1A															13														
ASH1L														7	18														
ASIC3																													76
ASPA									26																				
ASPH			26											138				26											
ASPHD2									14																				
ASPN		18				17																						22	40
ASPRV1												20		10															
ASRGL1														14															
ASTE1														11															
ASTN1															9														
ASTN2														235	21										101				39
ASXL2														18	6				24										
ASZ1																													15
ATAD1														18															
ATAD2B														44															
ATAD3C														18															
ATAT1															28														
ATCAY														11	14	22									173		6		
ATF2										11					27										55				13
ATF3																													58
ATF5														14															
ATF6															14														
ATF7															80														
ATF7IP2														25											54				42
ATG10																									84				
ATG12															19										40				
ATG13																													108
ATG14														34											40				
ATG16L1												100																195	
ATG2A														18															
ATG4A									12																				
ATG4B														34															
ATG5														27	10														
ATG7			81									36		12	48														
ATG9A																			34										
ATG9B																						35							
ATL2														12															
ATM																									14				
ATOX1														47															
ATP10B																		31											
ATP11B															11														
ATP12A										42																			
ATP13A2																									28				
ATP13A3														9	29														
ATP1A2														12											12				
ATP1A3														81															105
ATP1B1														22															
ATP1B2																									10				
ATP2A1														20															
ATP2A2														41					12						20				
ATP2A3																							168						
ATP2B1												20		6															18
ATP2B2														74	16														
ATP2B3										24													20						29
ATP2B4														10	58	24													
ATP2C1								72						105															
ATP4B										14				6															
ATP5B														10															
ATP5F1									11																				
ATP5J2																			72										
ATP5J2-PTCD1														17											52				53
ATP5L2										19																			
ATP5S																									74				
ATP6V0A2																									50				
ATP6V0D2																									64				
ATP6V0E1	22														74														
ATP6V1A																									16				
ATP6V1C1														12											32				
ATP6V1C2														14															
ATP6V1F															48														
ATP6V1G1															37														
ATP6V1G3																													36
ATP7A															6														
ATP7B															60														
ATP8A1															76														
ATP8B1																									108				
ATP8B2														49											19				
ATP8B4															20														
ATPBD4																													
ATPIF1																													28
ATRAID														12															
ATRN														34															
ATRNL1												17		6	29														
ATRX														6	110														
ATXN1									24					64					68										
ATXN1L														6															
ATXN2																													19
ATXN2L																													20
ATXN3															660										2244				
ATXN7															66														
ATXN7L1																									53				
ATXN7L3														44															
ATXN7L3B														35											20		9		
AUH														37															
AURKA				78																									
AUTS2														26															
AVEN														19															
AVIL															26														
AVPR1B															9														
AXL			26																										
B3GALNT1															45														
B3GALNT2		28												24											55				12
B3GALT5									130																				
B3GALT6															10														
B3GALTL														36															
B3GNT2														27															
B3GNT5															16														
B3GNT6															14														
B3GNTL1			11																										
B4GALT1														18	18														
B4GALT4														50											22				
B4GALT5														22											20				
B4GALT6														8															
B9D1																													22
B9D2														29															
BAALC															38												34		20
BAAT															68														
BABAM1														68	32														
BACE1			60											72															
BACE2																													23
BACH2														14															
BAG1														10															
BAG4															24														
BAG5														84											126				
BAHD1														34	27														
BAI3														26															
BAIAP2														24			111												
BAIAP2L1														35															
BAIAP2L2														12	23														
BAIAP3														60															
BAK1																21													
BARHL2								16																					
BARX2			20																										
BASP1									5																				
BATF2														20															
BAX														17															
BAZ2A														34															
BAZ2B															37														
BBIP1															205										70				
BBS4														68															
BBS7												13																	
BBX			24											60	60														
BCAP29														6	68														33
BCAP31																													92
BCAR1														126															
BCAR3																		31											
BCAS1																									39				
BCAS2										26																			
BCAS3														52					44										
BCAS4														48	21														
BCAT1									110																				
BCAT2														27															
BCCIP										12																			
BCKDHB									27							17									12				
BCKDK																													10
BCL11A			14											30	19														
BCL11B														102	32			28											
BCL2														11											20				
BCL2L1														17															
BCL2L10																							27						
BCL2L11														26	192														501
BCL2L14		16																											
BCL2L15												5																	
BCL2L2								14																					
BCL2L2-PABPN1														20															
BCL6															78														
BCL6B																								32					
BCL7C														7															
BCL9														60															
BCLAF1										36				24															
BCOR																													
BCR									12										86										
BDH1														66											63				
BDKRB2																7													
BDNF														136	833				119										
BDP1																7									15				
BEAN1														56															
BEND2														33											30				
BEND4				16										16															44
BEST3														88	58														
BET1															9														
BEX5														20															
BFAR									17																92				
BHLHE22																									7				
BHLHE40														47	14														
BHLHE41																											20		
BHMT														9															
BHMT2									12																				
BICD2														23	70														
BID												70																	
BIN2										20				24															
BIRC3														26															
BIRC5														32											50				60
BIRC6															18														
BIVM																									40				
BLCAP														85															
BLMH															24														
BLOC1S2														24	15														
BLOC1S3																									29				
BLOC1S4														22															
BLOC1S5														78											126				26
BLOC1S6																									42				
BMF															40														
BMP3																		15											
BMP5														36															
BMP7														22	40														
BMP8A										8																			
BMP8B																									74				
BMPER			17						11					26	18														
BMPR1A															16														
BMPR1B							40								57	84													
BNC1															23														
BNC2								14						10	23														
BNIP2														9	12														
BNIP3L								28							14														
BOC									3																				
BOD1L1															36														
BOK															25														
BOLA1																									9				
BPIFA3															36														
BPIFB4														41															
BPNT1																									77				
BPTF											30														26				
BRAF														5															
BRAP				12										30															
BRD3									28					40															
BRD4														40															
BRD8															14														
BRI3BP														13															
BRIP1												7																	
BRMS1L														6															
BRSK1																							10						
BRSK2														132															
BRWD1									8					12	57	20													54
BRWD3			15						18																				
BSDC1								128							56														104
BSN									13					26															
BSPRY														11													25		
BST1														27				11											
BST2														47															
BTAF1																								13					
BTBD1															36														
BTBD11									6																				
BTBD17																			24										
BTBD18															11														
BTBD7			6											12	14														
BTC																									2				
BTF3															16														
BTF3L4															159										57				
BTG1															101														
BTG2															14														
BTG3														40															
BTK										12																			
BTLA														28															
BTN2A1		34													21														125
BTN2A2		25		59											84														107
BTN3A1																74									168				
BTN3A2														55										76					
BTNL3														22															
BTNL8																													32
BTNL9			20																										
BTRC														84															
BUB1															16														
BVES															81														
BZW2												24		32															
C10orf10														31															
C10orf105														12															
C10orf111																									60				
C10orf113																													23
C10orf118															9	19									20				
C10orf131									22																				
C10orf2														82															
C10orf25																		37											
C10orf32															9														
C10orf53															25														
C10orf54														51	27														
C10orf67														16															
C10orf71														16															7
C10orf76																									14				
C10orf82										23																			
C10orf90															14														
C10orf99																												30	
C11orf24																28													
C11orf30														13															
C11orf41									17																				
C11orf49		15	10						17					51															22
C11orf54																									60				
C11orf57														69	33														
C11orf63																									22				
C11orf68															28														
C11orf70									11																39				23
C11orf73																													13
C11orf80														14															
C11orf83															24	4									47				
C11orf84														10															
C11orf86															24														
C11orf87				22					6					10	37														
C11orf91														52															
C11orf95															13														
C12orf23														6	11														
C12orf4															13														
C12orf43																									11				
C12orf44														130															
C12orf5															11														
C12orf56														26															
C12orf65														135															
C12orf68														14															
C12orf74														13															
C14orf1														42															
C14orf119															8										37				
C14orf182								33																					
C14orf28												32			60										13				
C14orf93			117																										
C15orf2																10													
C15orf32														22															
C15orf38																									15				
C15orf38-AP3S2																									47				
C15orf40																									20				
C15orf41														24															
C15orf48															56														
C15orf52														80											22				
C15orf57																		27											
C15orf62								52						23															
C16orf52														16											20				
C16orf54																									19				
C16orf55														53															
C16orf58			26											24															16
C16orf70														25															
C16orf72															16														
C16orf80																						13							
C16orf89																													45
C16orf95														54															
C17orf101									18																				
C17orf102														39															
C17orf103																									10				
C17orf107						30																							30
C17orf112														6															
C17orf49																													18
C17orf51														13															
C17orf58										26																			32
C17orf62														196															154
C17orf72														96															64
C17orf77																									36				
C17orf78															26														
C17orf85														16															
C17orf89															16														
C17orf99									16																				
C18orf1																114													
C18orf25														60															
C18orf32														32															
C18orf63									12					9															
C19orf12															120														
C19orf18															22														
C19orf25																													
C19orf26														13															
C19orf40														6											52				
C19orf44		29												23	30														69
C19orf47														44															
C19orf48														38															
C19orf54			30																						34				
C19orf66											20																		14
C1GALT1														11											11				
C1QA														12															13
C1QBP														19															
C1QTNF1														87	141														
C1QTNF3															50														
C1QTNF5														33															
C1QTNF6																									59				
C1QTNF8			18																										
C1QTNF9																									15				
C1R														20															
C1RL															25														
C1S														24															
C1orf101																													56
C1orf105														14															
C1orf106																									36				
C1orf110																												10	
C1orf115														14															
C1orf116															70	50													
C1orf122														104															
C1orf130																15													
C1orf131															22														
C1orf158														18															
C1orf168														20	16														
C1orf173											5			2	14														
C1orf177														24															
C1orf187											20																		
C1orf190			37																										
C1orf192				18																									
C1orf198															24														
C1orf201																								52					
C1orf204														17															
C1orf21								60	26						26			20		17				43					
C1orf210																									58				
C1orf216																29													
C1orf229																									14				
C1orf233					25									12															
C1orf27															42														
C1orf31																		16											
C1orf35														23															
C1orf43														33															
C1orf65														22															
C1orf74														21															
C1orf86		5													18														
C1orf88																		20											
C1orf95														18															
C20orf160																								4					
C20orf166														25															
C20orf194									12																				
C20orf197															10														
C20orf202																14													
C20orf24																													72
C20orf26														10															
C20orf27														37															
C20orf96														90															
C21orf33														84															
C21orf58														24															
C21orf7																			14										
C21orf91				18											60														11
C22orf26															34														
C22orf29															18				19						90				
C22orf46														30	17														
C2CD2								8	42																				
C2CD2L											37																		
C2CD4A															41														
C2CD4C															20														
C2orf15																									17				
C2orf43														12															
C2orf44		28													16														
C2orf53														32															
C2orf67									11																				
C2orf69															7								18	13	12				
C2orf80																													12
C2orf83																													37
C2orf84									9																				
C2orf88														72	168									16					
C2orf91														20											30				
C3orf18																													
C3orf27															16														
C3orf33																									39				
C3orf38														12															
C3orf52														59	26	12									12				21
C3orf55				22										28															6
C3orf58															34														
C3orf62														11											100				
C3orf70									20																81				
C3orf71									16																				
C3orf72																									51				
C3orf80														28										18					
C4BPA														17															
C4orf26																									225				
C4orf29														15											20				
C4orf3																									50				
C4orf32															15														
C4orf40															36										13				
C5														12															
C5AR1																									78				
C5orf20																		50											
C5orf22															38														
