	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
AQP3														6				7											
AQP4														4															
AQP6															21														
AQP9														6	7														
AR									20						26														
ARAF														38															
ARC														8															
ARCN1														10											10				
ARF1														44															
ARF3												3			6										5				
ARF4																									4				
ARFGAP2			4																										
ARFGAP3															6														
ARFGEF2			3																										
ARFIP2															36														
ARFRP1		12												8					14										13
ARHGAP1														21															
ARHGAP11A																									16				
ARHGAP12														7						5									
ARHGAP23														6															
ARHGAP24									21						18														
ARHGAP25														20															
ARHGAP26																								8	52				
ARHGAP27														7															
ARHGAP28										9				14															
ARHGAP31															5														
ARHGAP35														13															
ARHGAP40														7															
ARHGAP5															15														
ARHGAP8														17															
ARHGDIA			12											24															
ARHGDIB																									10				
ARHGEF1														54															
ARHGEF10														19															
ARHGEF11														18															
ARHGEF12				4																									
ARHGEF26									6					12	15										87				5
ARHGEF28														3															
ARHGEF3														39															
ARHGEF33														3															
ARHGEF38			9				4			5																			
ARHGEF39														12										23	18				17
ARHGEF4														14															
ARHGEF6														9															
ARHGEF7																				26									
ARHGEF9									15					30	54														
ARID1A																									12				
ARID3B														26															
ARID4A															30														
ARID4B															27														
ARID5A																													4
ARID5B															28	18													
ARIH1				7										5															
ARIH2OS																									5				
ARL11																									68				
ARL13A																													93
ARL3														5															
ARL4A												24																	
ARL4C									3																				
ARL5A														6															
ARL5B															9														
ARL6IP5								17																					
ARL6IP6																													12
ARL8A																			4										
ARL8B								6																					14
ARMC10															42										60				
ARMC3														7															
ARMC5														10	12														30
ARMC6														50															
ARMC7															2														
ARMCX4														13															
ARMCX5-GPRASP2														12															
ARMS2														3															
ARNT									21																				
ARNT2															57														
ARNTL2																									420				
ARPC4-TTLL3		12													6														6
ARPC5																									7				
ARPP21															27														
ARRB1														8															
ARRDC3														11	3														
