	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
APC															54.0														
APC2															11.0														
APH1A														16.0															
API5																													92.0
APITD1-CORT										2.0					24.0														26.0
APLF									14.0							2.0													
APLN									11.0						15.0														
APLP1														40.0															
APLP2																													15.0
APMAP														20.0	12.0														
APOA1BP														7.0															
APOA5														56.0															
APOBEC1														6.0															
APOBEC3D														21.0															
APOBEC3F																			7.0										
APOBEC3G														6.0															
APOBEC3H																									87.0				
APOC2														17.0															
APOD														7.0															
APOF																									6.0				
APOL1															56.0										16.0				
APOL2																		4.0											
APOL4														18.0															
APOL6			7.0											7.0				7.0							17.0				
APOLD1																									62.0				
APOOL									4.0																				5.0
APOPT1														6.0											10.0				
APPBP2																10.0									24.0				
APPL1								6.0																					
APTX																													32.0
AQP2															9.0														
AQP3														6.0				7.0											
AQP4														4.0															
AQP6															21.0														
AQP9														6.0	7.0														
AR									20.0						26.0														
ARAF														38.0															
ARC														8.0															
ARCN1														10.0											10.0				
ARF1														44.0															
ARF3												3.0			6.0										5.0				
ARF4																									4.0				
ARFGAP2			4.0																										
ARFGAP3															6.0														
ARFGEF2			3.0																										
ARFIP2															36.0														
ARFRP1		12.0												8.0					14.0										13.0
ARHGAP1														21.0															
ARHGAP11A																									16.0				
ARHGAP12														7.0						5.0									
ARHGAP23														6.0															
ARHGAP24									21.0						18.0														
ARHGAP25														20.0															
ARHGAP26																								8.0	52.0				
ARHGAP27														7.0															
ARHGAP28										9.0				14.0															
ARHGAP31															5.0														
ARHGAP35														13.0															
ARHGAP40														7.0															
ARHGAP5															15.0														
ARHGAP8														17.0															
ARHGDIA			12.0											24.0															
ARHGDIB																									10.0				
ARHGEF1														54.0															
ARHGEF10														19.0															
ARHGEF11														18.0															
ARHGEF12				4.0																									
ARHGEF26									6.0					12.0	15.0										87.0				5.0
ARHGEF28														3.0															
ARHGEF3														39.0															
ARHGEF33														3.0															
ARHGEF38			9.0				4.0			5.0																			
ARHGEF39														12.0										23.0	18.0				17.0
ARHGEF4														14.0															
ARHGEF6														9.0															
ARHGEF7																				26.0									
ARHGEF9									15.0					30.0	54.0														
ARID1A																									12.0				
ARID3B														26.0															
ARID4A															30.0														
ARID4B															27.0														
ARID5A																													4.0
ARID5B															28.0	18.0													
ARIH1				7.0										5.0															
ARIH2OS																									5.0				
ARL11																									68.0				
ARL13A																													93.0
ARL3														5.0															
ARL4A												24.0																	
ARL4C									3.0																				
ARL5A														6.0															
ARL5B															9.0														
ARL6IP5								17.0																					
ARL6IP6																													12.0
ARL8A																			4.0										
