	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
hsa-miR-1260a			3		1		2	8	4	3		5		38	37	1		2	7	1					280				6
hsa-miR-1260b			3		1		2	8	4	3		5		38	37	1		2	7	1					280				6
hsa-miR-1261	1		6					1	1	2	4			17	22	1		1	1					1	4	2		2	16
hsa-miR-1262	1		6	2				3	3	1				30	40	1		1						1	35				43
hsa-miR-1263			1						5					15	12										5			1	4
hsa-miR-1264		2						8	11		1			22	15	2			1						12		1		4
hsa-miR-1265		1				1			10	1				34	21	3		4			2	1	6	1	4			3	18
hsa-miR-1266			7			2						2		27	24		1	1	3						120				8
hsa-miR-1267		1				1		10	7	5				32	13	1		2					1		9	2		2	6
hsa-miR-1268a		2		1	1								1	8	2									3	85				1
hsa-miR-1268b		2		1	1								1	8	2									3	85				1
hsa-miR-1269a		2	1					4	1	1		4		29	19										2		6		3
hsa-miR-1269b		2	1					4	1	1		4		29	19										2		6		3
hsa-miR-127-3p				3					3	2		2	2	21	12				1						5				2
hsa-miR-127-5p		1	2		1			6	5			3	1	43	21			1						4	2	4	7		14
hsa-miR-1270				1			1	5	10			3	9	45	18	1				2					86				15
hsa-miR-1271-3p		1	1					6		2	1	2		27	28			1							71	1			5
hsa-miR-1271-5p			3	1	2			10	4	1		3		29	21	2		2	3						34		5		23
hsa-miR-1272			4	8			1	1	2	1	1	2		16	21	1					2			5	6				21
hsa-miR-1273a														8	6				2						10				4
hsa-miR-1273c												3		15	7				2						9				3
hsa-miR-1273d								6	5	1		1		19	15			2	2						18				8
hsa-miR-1273e		1	2	2	3			3		2				29	16	2		1	2					2	13				15
hsa-miR-1273f		2		3			1	8	6	1	2	1		42	15	1		3	4				13		30		1	1	9
hsa-miR-1273g-3p	1	1	8		1	2		5	14	2		2		35	29			2					1		93	4	2		13
hsa-miR-1273g-5p				3				3	6	2			9	24	31								1	1	12		1		17
hsa-miR-1275			1	1				3	9			2		41	23	6	1	2	4	3	4			3	5				15
hsa-miR-1276			4					8	4	1	4	1		37	35	8		1	9		1				3				13
hsa-miR-1277-3p		1	3						4	2	4			20	21	1		1											6
hsa-miR-1277-5p	3		6	3				11	25	1	1	3	7	64	62	2		13					2	5	6	4			29
hsa-miR-1278		3	1	2				3	2					24	26	4			4						3				11
hsa-miR-1279	1		2	1					11	2	1	4	2	40	38			2					1		4	3			13
hsa-miR-128		3	5				1	5	8	6	1	4	3	70	49	8		2				1	1	2	5		1		14
hsa-miR-1280			2				2	5	1	3				38	36	1		1	7	1					30				5
hsa-miR-1281					1				1					18	10	2		1	3		1				177				1
hsa-miR-1282			4					1	1	10				28	26	2									6				21
hsa-miR-1283	2	1	5					17	5		1		2	66	41	3	1	10	3						54				5
hsa-miR-1284			3					5	4	4		2		37	34	3		1		1			1		6				7
hsa-miR-1285-3p	1	1							13		1	6	1	37	30	1		5	6					5	44				9
hsa-miR-1285-5p		2	5		1			5	21	6		2		16	33	1			3		1			3	16	1			13
hsa-miR-1286		2	8					3	6	3		2		43	45	8		4	2						78				19
hsa-miR-1287		1	1	1				5	5	1		3		45	14	1		5	3						432		2		16
hsa-miR-1288		2	1					4	2	1		4		32	18												6		8
hsa-miR-1289			1	1					1	1		1		19	12	5			3	1		1			78				7
hsa-miR-129-1-3p		2							2	1	1	1		30	16										2				4
hsa-miR-129-2-3p		2							2	1	1	1		30	16										2				4
hsa-miR-129-5p		2	3		2				18		3	5	9	46	49	11	1	5	15		1	1		4	54	2	5		15
hsa-miR-1290			12	1				3	7		8	1	1	30	40	2	3	4	6					2				1	13
hsa-miR-1291			2					1	3			1		25	14	1								1	4	2			4
hsa-miR-1292				1				3	7	1		3		53	27	4		3	5						7		1	1	2
hsa-miR-1293			3					5	6	3				32	49	1	1	1						5	41				34
hsa-miR-1294		3	6	1		2			6					36	23	1		5	3	1					28				13
hsa-miR-1295a				7				13		4				10	7			2							36		6		2
hsa-miR-1295b-3p								15		4		2	1	8	19					2					6				4
hsa-miR-1295b-5p			17		1			2	9		2	1	9	29	27	1		1	4					1	63		1		13
hsa-miR-1296				2		4			1					24	10	5						1		1	4	1			13
hsa-miR-1297			1	6				14	3					14	24	7		3			1				39	5			7
hsa-miR-1298		3	6	1		1		10	16	2		1	7	34	28			6	1							10			15
hsa-miR-1299			4						4			1		32	34	4		3	7					1	12				17
hsa-miR-1301								1	3	2				10	15	3			4						20				15
hsa-miR-1302			5	4		1		12	5	3		6		55	15	4		5			1			1	193			1	22
hsa-miR-1303		1	1					3	8					26	38	3			1				1		48	4			1
hsa-miR-1304-3p		2	3	1				5	13	2	2	2		14	31	3								4	27	1	1		10
hsa-miR-1304-5p				4				3	3	1	3	2		23	33	1		3	8						106				11
hsa-miR-1305	5	5	4	4	1			32	13				4	45	60	2		4	2		1			1	12	4			18
hsa-miR-1306-3p		1		1										18	9			2							70				20
hsa-miR-1306-5p			5			2		5				1	9	24	33	4	2	3						4	28		1		19
hsa-miR-1307-3p								7						4	1										55	1			3
hsa-miR-1307-5p		1						1	1					6	31		1							5					2
hsa-miR-130a-3p		1	1	1				4	5	2	1	1		44	47			1	1						68		2		14
hsa-miR-130a-5p		2	3	2			1	1	13	2		2	3	47	55			2				1		3	7	1	1	1	24
hsa-miR-130b-3p		1	1	1				4	5	2	1	1		44	47			1	1						68		2		14
hsa-miR-130b-5p		3	14	4				1	10		2	7		35	46	8		2	3	1		1	1		7	2	4		9
hsa-miR-132-3p		3	7	1				4	5	3				40	51	4		1	4	1				1	8			1	4
hsa-miR-132-5p								1					7	12	13										7				5
hsa-miR-1321	1	1	6					5	8	2				53	34	18			2					3	161			5	4
hsa-miR-1322	1		4	8			1	1	1	1	1	2		23	27	5					1			4	8				24
hsa-miR-1323		1	6	4				8	18		1	2		66	80	11		1	3						21	5	3	2	9
hsa-miR-1324		5	2	1				4	5	4		1		42	59	1		2						6	11		1	1	2
hsa-miR-133a		3		1					7	1			10	31	28	1		7						2	9				8
hsa-miR-133b		3		1					7	1			10	31	28	1		7						2	9				8
hsa-miR-134		1	2					5	1	1				30	25							2			4	4			15
hsa-miR-1343			4	1				4	6	2				25	36	2		1	2				3		180				8
hsa-miR-135a-3p		2	4			4	1		2				1	17	28	9						1		1	9		1		1
hsa-miR-135a-5p								4	2	3		2		47	14	2									6				7
hsa-miR-135b-3p		3		1				4	2	2		1		26	23	1							1		9				7
hsa-miR-135b-5p								4	2	3		2		47	14	2									6				7
hsa-miR-136-3p	2	1						3	2					27	31	2				2			4	1	9				20
hsa-miR-136-5p			12				1	6	1	1			2	31	41	7		1	2						93				10
hsa-miR-137				2				2	4	1	1			34	63	4		7	2				1		14		1		15
hsa-miR-138-1-3p		3		1				6	1	1				33	50	1		2		1				1	39				7
hsa-miR-138-2-3p		1	5	2				8	3					20	48	6				1					8			1	22
hsa-miR-138-5p			1						1	4	2		8	26	26	4		3	1			1			57				15
hsa-miR-139-3p	4							5	4					20	23									1	31				10
hsa-miR-139-5p			4						1	3	5		9	43	48		1	2	2	1					8	4			5
hsa-miR-140-3p			6	3			1	6	5	1				62	41	3		1							5	1			27
hsa-miR-140-5p			2	3						6		1		40	16	37							1	1	59		1		17
hsa-miR-141-3p	1		8			1		14	7	2				53	81			1	1						13		4	1	4
hsa-miR-141-5p		1	5	2				2	12					33	41	3		1	3				1		19	4			14
hsa-miR-142-3p		1	2	2				10	6	1				33	14			2	1				1	1	9	2	1		6
hsa-miR-142-5p		2	14					9	16	1	1	5		63	55		3	5	7				1		5				26
