	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
hsa-miR-1260a		2	8					1	6	2		3		57	41	4		3	10					11	35		1		8
hsa-miR-1260b		2	8					1	6	2		3		57	41	4		3	10					11	35		1		8
hsa-miR-1261	1	1	1	1				4	3			4		18	32	2	2		4						12	2			
hsa-miR-1262		1	5	3				3	3			2		21	20	11		3	1	1				1	25	2			10
hsa-miR-1263			2	2				2	8	4		1		16	19			1	4					2	7				4
hsa-miR-1264		1	2	1					2	1		2	1	34	17				1						14	4			11
hsa-miR-1265		1	2					1	4					40	19				4	1					30		4		11
hsa-miR-1266		6	3	3		6		2		1				67	40			10						3	33		1		5
hsa-miR-1267			2			1		2	2		1			19	18	4					1				28				10
hsa-miR-1268a		3						8	1	1				31				2	1					1	20				9
hsa-miR-1268b		3						8	1	1				31				2	1					1	20				9
hsa-miR-1269a		3	1	2				10	10					44	23	2		2	6					4	13				8
hsa-miR-1269b		3	1	2				10	10					44	23	2		2	6					4	13				8
hsa-miR-127-3p		1	3							3				9	12				1					1	27				13
hsa-miR-127-5p		2	7	4			1	6	2	1				15	36	2			3						39				7
hsa-miR-1270		3	3					1	2		2	6		37	35	6		2	3					1	31				16
hsa-miR-1271-3p	6		1	6	2			2	3			1		35	30	3		2							41				9
hsa-miR-1271-5p			5	2					4				1	39	35	1						1		1	25		5		7
hsa-miR-1272		1		2				6		5	1		1	33	24	1				1					28	12			3
hsa-miR-1273a									1					26	2	2							1		7				6
hsa-miR-1273c	1								2	1				13	3	2							1		5				5
hsa-miR-1273d			2	1			1	3					1	42	24									1	18		1	2	7
hsa-miR-1273e		2						4	8	3				36	30			1						2	24	1			5
hsa-miR-1273f		2	2	1				5	4		2	5		39	49	5		3	1						25		1		16
hsa-miR-1273g-3p		1	3	2			1	3	5			3	9	46	14	6		1						1	14		1		5
hsa-miR-1273g-5p								4				1		11	20	8	1	1	1		2			1	27				10
hsa-miR-1275	1	1	9					16	9		2	4	1	105	34	17	3	1	7				14	4	16				9
hsa-miR-1276		4	7					8	1	2	1	3		45	51			4	2	3	1			2	38				20
hsa-miR-1277-3p		4							8					10	5								1	1	2				10
hsa-miR-1277-5p			10					7	25			1	3	117	156			8		3	1				16		1		5
hsa-miR-1278								13	1	1				9	17	1									71				4
hsa-miR-1279			2					19	4					21	55	2		1	1		1	1			12				1
hsa-miR-128			5	2		1		11	3	2	1		4	37	27			4	8		1			3	68	4	2	4	18
hsa-miR-1280		2	5						12	1		5		65	31	4		3	3					8	29		1		13
hsa-miR-1281		1							5				12	37	24	3		2	2						33				24
hsa-miR-1282			1						1			2	1	13	8			10				1		1	4	1			6
hsa-miR-1283		1	1					14	6	4		3		47	52	5		3							37	4		1	16
hsa-miR-1284	4		4	1				1	10	2	1	1	1	48	62	3		3						1	6				1
hsa-miR-1285-3p		1	4	2				9	9			1		102	36	6		10	5					1	75	1			32
hsa-miR-1285-5p	2		2	16				3	10				1	12	28	3		1						3	83				9
hsa-miR-1286		3	1	3				2	16	3		2	1	76	52	2		3	3		1	1	6	3	33	1			11
hsa-miR-1287			4					5	1			5		52	21	6		2	8			1		5	57	1			21
hsa-miR-1288	1		1	2				1	10					30	22	2			3					3	4				4
hsa-miR-1289			1	1		1						1	2	27	32	3			6						17				13
hsa-miR-129-1-3p			1	1				1	6					30	14			4	1				4		12		7	2	10
hsa-miR-129-2-3p			1	1				1	6					30	14			4	1				4		12		7	2	10
hsa-miR-129-5p		2	12	3			7	10	33	2	6	1	2	93	57	6		5	4			2		5	53	11	1		15
hsa-miR-1290	1	1						2	10	1		1		17	32	3	2	3	6			1	13		24			1	13
hsa-miR-1291			3	1				6		1				64	17	2		3							24				8
hsa-miR-1292	1	1	4					2	2		1	5		51	11	2		1	6	2			4		15				10
hsa-miR-1293			7	1				6	2		4			39	18	11		5	1	1	2		1	3	21	2			17
hsa-miR-1294		1	1					18		1				32	25	7		2	1					5	58				22
hsa-miR-1295a		1	7						3					19	21	1			3			2		2	11			1	10
hsa-miR-1295b-3p			3					1			3	1		13	20				1			2	1		58				5
hsa-miR-1295b-5p		1	5				1	11		2		1	1	43	29	5		3	3						91				6
hsa-miR-1296			5	2				3	2	1		2		23	6	2			1	1					9				8
hsa-miR-1297	1	1	2	9	1	2	4	8	1	4		1		23	34			1		1			3		24		4		9
hsa-miR-1298			10	1		1		4		1	1	3		18	24	5		4						4	9				26
hsa-miR-1299		3	5					8	1			5		45	18	12			2				2	2	89		4		12
hsa-miR-1301			6						2			3	9	53	25	4		1	2			1		1	39		6		15
hsa-miR-1302			5	1				1	4			8		49	31	4		1	3			1	2		103				5
hsa-miR-1303			2	2				2	3	1				26	43	4		1						1	18				11
hsa-miR-1304-3p	3	2	3					5	2					23	33	3									27	4			10
hsa-miR-1304-5p		2	11	2		1		18	5	2				71	25	10				1					53	5	1		11
hsa-miR-1305	5	2	6					20	15	2	1	2	2	55	66	3	1	7	3	4			3	2	30	4	5		5
hsa-miR-1306-3p						1			2	5			1	4	15			1							43				4
hsa-miR-1306-5p		8			1			10	7	1	3			37	16	6		5	2		1		1	7	47		2		11
hsa-miR-1307-3p		1							1		1	2		17	6	1		1	1						21				7
hsa-miR-1307-5p														3	2										23				8
hsa-miR-130a-3p			2	6				1	2				9	30	34	5		1			1				46				18
hsa-miR-130a-5p		2	14	1			3	13	8				2	34	34	1		2			1		1	1	25	4	3	4	11
hsa-miR-130b-3p			2	6				1	2				9	30	34	5		1			1				46				18
hsa-miR-130b-5p		4	5	4		1	7	10	4			1	2	26	56	3		4	9				1	1	13	4	3		25
hsa-miR-132-3p			3					2	11	3				20	31			4	8	3				1	13				24
hsa-miR-132-5p	2	1	2						13	18		1	1	27	10	6								2	2			2	11
hsa-miR-1321			2	2		4		1	7	3	2	2		82	60	6		4	16	1		2		1	25		1		10
hsa-miR-1322			2					18		4	1	1	9	27	22	1				1					27	12			4
hsa-miR-1323			17					17	21	1	3	1		64	69	7		4						8	20	1			2
hsa-miR-1324		3	3					1	1	2	3	1		32	29	5		3							78		8	1	5
hsa-miR-133a				5	1			10	10			1	1	18	38	4		2	1			1		2	42				6
hsa-miR-133b				5	1			10	10			1	1	18	38	4		2	1			1		2	42				6
hsa-miR-134								2	2	1				27	21			1	2			1			22		1		15
hsa-miR-1343		5	7					7	4		1	2	1	70	50	9		1	6					2	37		1		19
hsa-miR-135a-3p				1				1	5		3	1		27	20			3	3					1	75		1		2
hsa-miR-135a-5p		1	3	1				5	4	1				49	28	3		1	3			1			50		5		2
hsa-miR-135b-3p		1								2	4	1	1	41	28	3			2				4	2	3				3
hsa-miR-135b-5p		1	3	1				5	4	1				49	28	3		1	3			1			50		5		2
hsa-miR-136-3p		1	10					4	6					13	21	11		2	5						17		1		6
hsa-miR-136-5p								21	17		3			32	37	2		7							15	4			9
hsa-miR-137				3		1		16	7	2				30	42	7		1		1					28			1	4
hsa-miR-138-1-3p			3	10				7	3					15	22	2									3	4		1	4
hsa-miR-138-2-3p			13	1				20	12	4		5	2	53	65				1			1			15			1	10
hsa-miR-138-5p			5	5				5	14		2		4	46	25	2		2	1					7	51		4	1	13
hsa-miR-139-3p									5			8		21	9	3									51			1	13
hsa-miR-139-5p			2	2				9	7	5			1	16	40	3		4					2		65		1	1	9
hsa-miR-140-3p			2	1				23	3			3	4	49	24	1		1	11						19	4	1		4
hsa-miR-140-5p		1	13					1		1			1	41	30				4						28				2
hsa-miR-141-3p			4						4	1		2	9	30	29	5		1			1			4	68			1	5
hsa-miR-141-5p		2	4			1		6	17	3		3	7	50	45	3		1	2		1				11		2		25
hsa-miR-142-3p					18				1					18	23										41				1
hsa-miR-142-5p	6			2				2	5	12	1			47	78	12		5		1				2	25				6
hsa-miR-143-3p		2	2	1				14	5	1	2			35	57	5		3							77				21
hsa-miR-143-5p			3					1	1			1	3	32	13			1	1	1	1				30				17
hsa-miR-144-3p		1						11	8	7			1	38	30										29		1		12
hsa-miR-144-5p			3	1				1	4	2				46	54				2	3	2				1			1	9
hsa-miR-145-3p		1	4	2				3	4			2		30	18		2	3					1		12			1	10
hsa-miR-145-5p		3	1						2					58	26	3								1	23				7
hsa-miR-1468	1	2	1						1	1				6	15	2		10							18			2	6
hsa-miR-1469		1							1		1			37	3	1									18				17
hsa-miR-146a-3p		10	1	2		1		10	8	5		3		70	30				1					1	8				15
hsa-miR-146a-5p			4					1		1	2	1		41	45	7		18	3		1				40		1		43
hsa-miR-146b-3p			2	1					2	4			1	58	21	3			1	1					41	4	3		4
hsa-miR-146b-5p			4					1		1	2	1		41	45	7		18	3		1				40		1		43
hsa-miR-1470		4	4					3	3	1		10	1	65	20				4					2	26	2		1	15
hsa-miR-1471			2						2				7	6	2	1									19				9
hsa-miR-147a			1					6	5		2			60	27	5		5	1					7	13				10
hsa-miR-147b			1						4			4		12	25	8		3						4	26				4
hsa-miR-148a-3p			2	6				1	9				6	38	34	5		1							29				20
hsa-miR-148a-5p		1						1	4	9		1		46	39	1							2	1	21		5		23
hsa-miR-148b-3p			2	6				1	9				6	38	34	5		1							29				20
hsa-miR-148b-5p		2	1					1	2	5		1		39	21	4							2	1	22		5		29
hsa-miR-149-3p		1	2					2	4	3	2	2		83	59	6		11	17	1		2		1	28		1		10
hsa-miR-149-5p	6	1	1					9	6			1	1	60	20	1			1				2		17				11
hsa-miR-150-3p			1						5	4	2	7		26	12			1	5					2	13				6
hsa-miR-150-5p		3	13	2				2	8	4		3		35	48	1		1	4					1	85				8
hsa-miR-151a-3p	1	5	6					10	4			3		27	16			3	3	1					33		6	1	3
hsa-miR-151a-5p		3		4						2		1		41	24	1		3	1					1	9		1		22
hsa-miR-151b		3		4						2		1		41	24	1		3	1					1	9		1		22
hsa-miR-152			2	6				1	9				6	38	34	5		1							29				20
hsa-miR-153		1						6	4	1				13	35	2								1	15	3	2		3
hsa-miR-1537			5				2	3	6			7		52	28	3			1					3	13				3
hsa-miR-1538			4	1				3	6	1	1			27	3	1								5	21				17
hsa-miR-1539		2	1						6	3			1	47	15	1			1					3	10		3		11
hsa-miR-154-3p			7	2				2	7	7		1		27	35	2			1						13		1		5
hsa-miR-154-5p								7	7					21	22	2			6				1	5	11				1
hsa-miR-155-3p			1	3				8	1					20	25	1	1	4							36				4
hsa-miR-155-5p								2		3		3		53	46	1			2					2	66		3		5
hsa-miR-1587			6	1				1	2	1				79	13	2		9	3					3	16		1	5	10
hsa-miR-15a-3p		1	1	1	1				3	1				58	36	2			1		1		2	1	18		6		10
hsa-miR-15a-5p		1	8	2				4	5			3	10	52	12	4		2		1		1	1	2	27		8		17
hsa-miR-15b-3p				3		1		2	6	7		2		34	30	2		2							14		2		13
hsa-miR-15b-5p		1	8	2				4	5			3	10	52	12	4		2		1		1	1	2	27		8		17
hsa-miR-16-1-3p		1	1	1					4	14				26	25	1		6	1					1	39				3
hsa-miR-16-2-3p								4	16	1		5		44	88			2	1	1				1	7	4	7		7
hsa-miR-16-5p		1	8	2				4	5			3	10	52	12	4		2		1		1	1	2	27		8		17
hsa-miR-17-3p			5					1	4	2		1	9	57	15			3							36		7	5	20
hsa-miR-17-5p	5	1	3	3			1	13	6	1		3	2	42	61		2	2					1		24		5		19
hsa-miR-181a-2-3p	1	3	3	2			1	2	5					46	19	8								2	28			1	6
hsa-miR-181a-3p			5					1			1			15	5	1									11				15
hsa-miR-181a-5p			4	3		1		4	9			1		29	83			1						5	7	4			13
hsa-miR-181b-3p	1	2	2				1	6	1					33	35	7								1	33	4		1	7
hsa-miR-181b-5p			4	3		1		4	9			1		29	83			1						5	7	4			13
hsa-miR-181c-3p			5	2				1			1	7	2	21	30	5								3	12		3		3
hsa-miR-181c-5p			4	3		1		4	9			1		29	83			1						5	7	4			13
hsa-miR-181d			4	3		1		4	9			1		29	83			1						5	7	4			13
hsa-miR-182-3p		1	2					1					1	20	21	1		1						1	12		3		15
hsa-miR-182-5p			4	1				1	4	1			1	25	48	2		1							19		4		9
hsa-miR-1825		1	2	6				1	1	1			4	54	35	5								1	29				15
hsa-miR-1827	3	3	7					26	10	1		4	9	71	32	9		3	3	1	1		1	3	25	3			13
hsa-miR-183-3p		1						6	17	2	10	1		29	13			2						1	46		1		13
hsa-miR-183-5p			2						4	1				32	16	4			2			1		1	19		1		2
hsa-miR-184		2		1					5			5	1	21	21						1		6	1	12			3	8
hsa-miR-185-3p			8					1	2	1		2	2	96	35	2		4	3		1			2	11		3	5	10
hsa-miR-185-5p		4	1	1				2	4	1	2	9		57	31	3		1	2					1	34				17
hsa-miR-186-3p			8	2		2		4	2	1	5	3		40	35	4	1					1		5	11			2	17
hsa-miR-186-5p			5	2				7	20	1	1			102	81	5	1	6	2		1	1		5	30				41
hsa-miR-187-3p								1	5	2				16	12	1								1	21				13
hsa-miR-187-5p				2				2	10	2		3		15	27	3		2					1		34	1			2
hsa-miR-188-3p		3	8					9	5	3		2		43	37	5		2	1					1	34		1		19
hsa-miR-188-5p		1	9					3	2	6				36	22	3		1	1					1	19				1
hsa-miR-18a-3p			1	1				8		1			10	68	27	4			1						35	4	4	1	5
hsa-miR-18a-5p			1				2	14	4	1				36	42				11				14	4	11				5
hsa-miR-18b-3p			1	1				1	5	1			1	33	25	3			1						25	4	3	1	4
hsa-miR-18b-5p			1				2	14	4	1				36	42				11				14	4	11				5
hsa-miR-1908		2	1					9						39	6	12		5	3	2				2	16				21
hsa-miR-1909-3p		6	4	2				4	5		1	2		85	32	2	3		5		2	2			30		1		25
hsa-miR-1909-5p	6	1	8	5					4					16	29	3		2					1		64				19
hsa-miR-190a			5					2	1	1	1	2	7	57	35	2		6							4		1	1	3
hsa-miR-190b			5					2	1	1	1	2	7	57	35	2		6							4		1	1	3
hsa-miR-191-3p								1	4	1		1		16	10	1		3		2					4				7
hsa-miR-191-5p									4					15	6			1	2										5
hsa-miR-1910		1		2	6			5	3			2		36	18	1		1	12						29				7
hsa-miR-1911-3p		1	12	1				6	6			1		82	38	4	1	3			4		2	4	18				17
hsa-miR-1911-5p								13	4	1				15	8	1		4							35				3
hsa-miR-1912		1	4					6		2		1		43	28	4		1	3						90				7
hsa-miR-1913		1	3					11	3	1			9	69	21	4		2							39		3	1	5
